gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO1454	0,50	0,04	0,05	0,08	0,11	1,27						
SCO1455	0,98	0,05	0,06	0,05	0,06	1,26						
SCO1458	0,57	0,26	0,16	0,44	0,28	0,64						
SCO1459	0,57	0,12	0,11	0,20	0,20	0,99						
SCO1460	1,07	0,42	0,49	0,39	0,46	1,17						
SCO1464	1,19	0,52	0,28	0,43	0,23	0,53						
SCO1465	1,55	1,99	4,31	1,28	2,79	2,17						
SCO1466	3,14	4,01	12,45	1,28	3,97	3,11						
SCO1467	2,52	3,56	10,52	1,41	4,18	2,96						
SCO1468	2,23	2,77	7,61	1,24	3,41	2,75						
SCO1469	1,85	2,35	4,22	1,27	2,28	1,80						
SCO1470	1,53	3,10	5,68	2,03	3,71	1,83						
SCO1472	0,55	0,52	0,29	0,94	0,53	0,56						
SCO1474	1,73	60,91	40,03	35,15	23,10	0,66						
SCO1475	0,66	0,51	0,42	0,77	0,65	0,84						
SCO1479	1,45	3,50	3,53	2,42	2,44	1,01						
SCO1480	2,69	8,33	9,92	3,09	3,69	1,19						
SCO1481	0,91	0,47	0,25	0,52	0,28	0,54						
SCO1482	0,62	0,31	0,16	0,50	0,25	0,49						
SCO1483	0,43	0,26	0,10	0,61	0,24	0,39						
SCO1490	0,84	0,85	0,27	1,01	0,32	0,32						
SCO1491	0,84	0,90	0,35	1,07	0,41	0,39						
SCO1492	0,88	0,75	0,26	0,85	0,29	0,34						
SCO1500	0,67	0,46	0,28	0,69	0,42	0,61						
SCO1504	1,46	6,60	10,49	4,51	7,16	1,59						
SCO1505	0,64	0,78	0,34	1,23	0,53	0,43						
SCO1508	0,88	0,54	0,42	0,61	0,47	0,78						
SCO1509	0,89	0,51	0,42	0,57	0,47	0,83						
SCO1510	1,33	1,12	0,66	0,84	0,49	0,59						
SCO1511	1,27	1,09	0,58	0,86	0,46	0,54						
SCO1512	1,16	1,04	0,57	0,89	0,49	0,55						
SCO1513	1,06	1,24	2,23	1,17	2,10	1,80						
SCO1514	0,77	0,85	0,38	1,10	0,49	0,45						
SCO1516	0,77	0,82	0,48	1,08	0,62	0,58						
SCO1522	0,82	0,52	0,13	0,64	0,16	0,25						
SCO1523	0,91	0,61	0,19	0,66	0,21	0,32						
SCO1524	0,78	0,52	0,33	0,67	0,42	0,63						
SCO1525	0,91	0,59	0,37	0,65	0,41	0,63						
SCO1526	1,00	0,67	0,46	0,67	0,46	0,69						
SCO1528	2,60	1,08	4,48	0,41	1,72	4,17						
SCO1529	1,86	1,81	2,09	0,97	1,12	1,15						
SCO1530	1,17	0,74	0,51	0,63	0,44	0,70						
SCO1531	0,79	0,57	0,36	0,72	0,46	0,64						
SCO1532	2,04	0,99	9,68	0,49	4,75	9,77						
SCO1533	3,75	1,59	28,32	0,42	7,55	17,77						
SCO1534	3,80	3,53	43,21	0,93	11,38	12,25						
SCO1535	1,11	3,05	6,00	2,74	5,38	1,96						
SCO1541	3,21	3,23	28,05	1,01	8,74	8,68						
SCO1542	1,26	2,21	2,59	1,75	2,05	1,17						
SCO1543	1,30	1,20	2,06	0,92	1,59	1,72						
SCO1545	1,36	0,99	0,67	0,73	0,50	0,68						
SCO1546	1,39	0,99	0,67	0,71	0,48	0,68						
SCO1547	0,86	0,43	0,35	0,50	0,40	0,81						
SCO1548	1,63	2,30	4,33	1,41	2,66	1,89						
SCO1550	0,40	5,85	6,38	14,66	16,01	1,09						
SCO1551	0,71	0,56	0,41	0,78	0,58	0,73						
SCO1552	0,63	0,67	0,29	1,06	0,46	0,43						
