gene	MvsTFC	MvsLFC	MvsSFC	TvsLFC	TvsSFC	LvsSFC						
SCO4086	0,77	0,46	0,76	0,60	0,99	1,63						
SCO4089	0,52	1,51	0,81	2,91	1,57	0,54						
SCO4091	1,17	1,55	2,85	1,33	2,45	1,84						
SCO4092	0,58	0,44	0,29	0,75	0,50	0,66						
SCO4096	0,13	0,32	0,20	2,42	1,51	0,62						
SCO4098	0,83	1,03	0,51	1,23	0,61	0,50						
SCO4099	0,72	0,48	0,37	0,67	0,51	0,77						
SCO4102	1,22	0,68	0,56	0,56	0,46	0,82						
SCO4106	0,79	0,78	0,34	0,99	0,43	0,43						
SCO4107	0,35	0,26	0,11	0,74	0,31	0,42						
SCO4108	0,70	1,62	1,49	2,33	2,15	0,92						
SCO4109	0,33	1,20	0,96	3,65	2,91	0,80						
SCO4110	0,89	0,59	0,48	0,66	0,54	0,82						
SCO4111	0,65	0,44	0,35	0,67	0,53	0,79						
SCO4114	2,88	2,69	5,04	0,93	1,75	1,87						
SCO4116	0,81	0,50	0,44	0,62	0,54	0,88						
SCO4118	2,53	2,50	2,60	0,99	1,03	1,04						
SCO4119	1,85	1,39	3,06	0,75	1,65	2,20						
SCO4121	0,07	0,03	0,01	0,45	0,17	0,37						
SCO4122	0,37	0,14	0,12	0,38	0,32	0,84						
SCO4123	0,81	1,08	3,21	1,34	3,98	2,97						
SCO4124	0,98	0,73	3,93	0,74	4,01	5,40						
SCO4125	1,34	0,84	0,61	0,63	0,46	0,73						
SCO4131	1,33	2,06	2,10	1,55	1,58	1,02						
SCO4134	0,51	0,90	2,70	1,76	5,28	3,01						
SCO4135	0,73	7,61	5,11	10,37	6,96	0,67						
SCO4137	0,71	0,40	0,19	0,57	0,27	0,47						
SCO4138	0,58	0,35	0,11	0,60	0,19	0,32						
SCO4139	79,03	25,28	69,74	0,32	0,88	2,76						
SCO4140	87,84	24,26	68,91	0,28	0,78	2,84						
SCO4141	93,05	25,62	84,09	0,28	0,90	3,28						
SCO4142	90,94	49,41	145,60	0,54	1,60	2,95						
SCO4143	11,25	6,04	12,13	0,54	1,08	2,01						
SCO4144	12,41	6,83	13,14	0,55	1,06	1,92						
SCO4145	15,43	6,53	12,82	0,42	0,83	1,96						
SCO4146	0,93	0,93	0,33	1,00	0,36	0,35						
SCO4147	0,81	0,83	0,38	1,02	0,46	0,45						
SCO4148	0,80	0,80	0,42	0,99	0,52	0,52						
SCO4149	0,79	0,72	0,39	0,91	0,50	0,55						
SCO4150	0,86	0,68	0,26	0,79	0,30	0,38						
SCO4152	1,85	5,18	6,23	2,80	3,37	1,20						
SCO4154	0,91	1,20	4,07	1,33	4,49	3,39						
SCO4155	1,20	0,51	0,38	0,43	0,31	0,74						
SCO4156	1,12	0,43	0,41	0,38	0,37	0,96						
SCO4157	1,28	0,29	0,37	0,23	0,29	1,26						
SCO4160	1,03	0,66	0,30	0,64	0,29	0,46						
SCO4161	1,03	0,79	0,46	0,77	0,45	0,58						
SCO4164	3,79	0,46	2,96	0,12	0,78	6,44						
SCO4165	3,89	0,50	2,98	0,13	0,76	5,95						
SCO4167	1,09	0,66	0,48	0,60	0,44	0,73						
SCO4169	1,28	0,87	0,43	0,67	0,34	0,50						
SCO4172	1,09	1,21	4,48	1,11	4,11	3,72						
SCO4173	1,45	4,13	45,81	2,84	31,54	11,10						
SCO4174	11,69	101,49	1990,75	8,68	170,30	19,62						
SCO4175	30,95	296,51	5232,19	9,58	169,06	17,65						
SCO4176	2,20	3,65	10,69	1,65	4,85	2,93						
SCO4177	2,37	2,05	2,51	0,86	1,06	1,23						
SCO4178	1,27	0,82	0,61	0,65	0,49	0,75						
SCO4179	1,14	0,73	0,52	0,64	0,45	0,71						
SCO4180	0,94	0,55	0,38	0,58	0,40	0,69						
SCO4182	0,72	0,46	0,37	0,64	0,52	0,81						
SCO4184	1,41	3,27	4,25	2,32	3,02	1,30						
SCO4186	0,94	0,74	0,19	0,79	0,20	0,25						
SCO4187	0,54	0,44	2,19	0,82	4,04	4,94						
SCO4188	0,65	0,30	0,29	0,46	0,44	0,96						
SCO4189	1,04	1,01	5,39	0,97	5,17	5,32						
SCO4191	1,24	0,57	0,61	0,46	0,49	1,07						
SCO4192	1,09	1,04	2,05	0,96	1,89	1,97						
SCO4193	1,91	1,80	2,85	0,94	1,49	1,58						
SCO4194	1,36	0,89	0,65	0,66	0,48	0,74						
SCO4195	0,79	0,48	0,30	0,61	0,38	0,62						
SCO4196	0,55	0,34	0,18	0,62	0,33	0,53						
SCO4197	0,73	0,57	0,46	0,77	0,63	0,81						
SCO4198	1,59	4,98	3,29	3,13	2,07	0,66						
SCO4199	1,37	5,58	6,01	4,06	4,37	1,08						
SCO4200	2,01	2,40	1,77	1,19	0,88	0,74						
SCO4202	0,96	1,80	0,82	1,88	0,86	0,46						
SCO4203	0,55	0,41	0,25	0,75	0,45	0,60						
SCO4204	0,55	1,78	1,57	3,21	2,83	0,88						
SCO4207	4,46	2,79	0,49	0,63	0,11	0,17						
SCO4212	0,99	0,58	1,19	0,58	1,20	2,06						
SCO4213	3,85	2,36	3,63	0,61	0,94	1,54						
SCO4215	0,70	0,42	0,18	0,60	0,26	0,44						
SCO4218	2,93	4,32	6,83	1,47	2,33	1,58						
SCO4222	1,46	0,87	0,44	0,60	0,30	0,51						
SCO4224	1,10	1,31	3,34	1,20	3,05	2,55						
SCO4225	1,67	2,38	8,14	1,43	4,89	3,42						
SCO4226	20,71	8,58	33,17	0,41	1,60	3,87						
SCO4227	19,93	8,56	26,15	0,43	1,31	3,06						
SCO4228	26,76	9,15	24,36	0,34	0,91	2,66						
SCO4229	16,36	4,62	8,27	0,28	0,51	1,79						
SCO4230	19,65	8,51	13,70	0,43	0,70	1,61						
SCO4231	0,75	0,46	0,20	0,61	0,26	0,43						
SCO4232	0,62	0,75	1,41	1,20	2,27	1,88						
SCO4233	0,53	1,18	0,91	2,22	1,71	0,77						
SCO4235	0,70	0,53	0,42	0,76	0,60	0,79						
SCO4236	0,50	0,51	0,45	1,00	0,89	0,89						
SCO4237	0,49	3,04	2,54	6,19	5,17	0,84						
SCO4238	1,55	5,91	2,30	3,80	1,48	0,39						
SCO4239	3,87	44,53	17,78	11,51	4,59	0,40						
SCO4240	1,87	1,82	0,91	0,97	0,48	0,50						
SCO4242	1,53	2,52	1,70	1,64	1,11	0,68						
SCO4243	1,58	2,58	1,55	1,63	0,98	0,60						
SCO4244	1,55	2,59	1,59	1,67	1,02	0,61						
SCO4245	1,64	2,49	1,33	1,52	0,81	0,53						
SCO4246	1,45	2,59	1,53	1,79	1,05	0,59						
SCO4247	1,40	2,40	1,54	1,72	1,10	0,64						
SCO4250	1,27	1,48	0,44	1,17	0,35	0,30						
SCO4251	1,38	2,43	0,91	1,76	0,66	0,38						
SCO4252	1,61	3,16	1,43	1,96	0,89	0,45						
SCO4253	1,59	2,99	1,34	1,89	0,85	0,45						
SCO4254	1,47	0,50	0,06	0,34	0,04	0,12						
SCO4255	2,27	2,52	0,78	1,11	0,34	0,31						
SCO4256	2,42	1,97	1,35	0,81	0,56	0,69						
SCO4259	1,15	0,65	0,22	0,57	0,19	0,34						
SCO4260	1,32	0,88	0,43	0,67	0,32	0,48						
SCO4261	1,01	1,22	2,13	1,21	2,10	1,74						
SCO4262	0,94	0,49	1,06	0,52	1,13	2,16						
SCO4263	0,54	0,47	1,11	0,89	2,08	2,34						
SCO4264	1,31	0,69	0,65	0,52	0,50	0,95						
SCO4265	1,42	1,43	3,62	1,01	2,54	2,52						
SCO4266	1,01	1,15	7,37	1,13	7,28	6,42						
SCO4267	1,48	2,83	3,23	1,91	2,18	1,14						
SCO4268	0,94	1,18	4,02	1,25	4,28	3,41						
SCO4269	0,71	0,48	0,48	0,68	0,67	0,99						
SCO4270	0,43	0,34	0,36	0,79	0,84	1,07						
SCO4271	0,76	0,82	0,28	1,08	0,37	0,34						
SCO4272	0,75	0,53	0,40	0,71	0,53	0,75						
SCO4273	0,65	0,50	0,32	0,77	0,50	0,65						
SCO4275	0,74	0,43	0,26	0,59	0,36	0,61						
SCO4276	1,01	0,80	0,34	0,79	0,34	0,43						
SCO4277	1,18	2,61	2,16	2,21	1,82	0,83						
SCO4279	1,01	0,66	0,38	0,66	0,38	0,58						
SCO4280	1,20	0,72	0,54	0,60	0,44	0,75						
SCO4281	2,36	3,12	3,86	1,32	1,63	1,24						
SCO4283	1,17	0,43	0,20	0,36	0,17	0,48						
SCO4286	0,41	0,11	0,01	0,28	0,03	0,12						
SCO4287	0,37	0,11	0,11	0,30	0,30	0,99						
SCO4289	1,01	1,37	2,73	1,35	2,69	2,00						
SCO4290	2,31	1,16	0,77	0,50	0,33	0,67						
SCO4291	1,46	0,52	0,63	0,36	0,43	1,21						
SCO4292	0,89	0,59	0,36	0,66	0,40	0,61						
SCO4293	0,56	0,37	2,50	0,66	4,44	6,74						
SCO4294	0,60	0,77	2,86	1,28	4,80	3,74						
SCO4295	4,37	4,77	5,05	1,09	1,16	1,06						
SCO4297	0,29	0,73	0,25	2,53	0,85	0,34						
SCO4298	0,83	0,71	0,42	0,86	0,51	0,59						
SCO4299	1,06	0,64	0,47	0,61	0,44	0,73						
SCO4300	2,59	4,58	6,06	1,77	2,34	1,32						
SCO4301	2,16	14,85	26,15	6,87	12,10	1,76						
SCO4304	1,14	0,59	0,51	0,52	0,44	0,85						
SCO4313	0,52	0,45	0,29	0,85	0,56	0,66						
SCO4316	0,39	0,45	0,38	1,13	0,97	0,85						
SCO4323	0,84	0,45	0,27	0,53	0,32	0,60						
SCO4324	0,76	0,44	0,25	0,57	0,33	0,57						
SCO4325	1,42	0,90	0,54	0,64	0,38	0,60						
SCO4326	0,66	0,27	0,15	0,41	0,23	0,58						
SCO4327	0,68	0,30	0,12	0,44	0,17	0,39						
SCO4328	1,10	0,64	0,27	0,58	0,25	0,42						
SCO4329	1,15	1,46	2,04	1,27	1,78	1,40						
SCO4330	0,69	0,58	0,34	0,84	0,49	0,58						
SCO4331	0,78	0,63	0,37	0,80	0,47	0,58						
SCO4332	0,82	3,59	2,47	4,39	3,01	0,69						
SCO4333	0,82	0,54	0,29	0,66	0,35	0,53						
SCO4334	0,40	0,28	0,25	0,70	0,63	0,91						
SCO4335	2,51	45,02	77,83	17,97	31,06	1,73						
SCO4336	0,20	0,19	0,16	0,94	0,81	0,86						
SCO4337	0,31	0,26	0,25	0,84	0,81	0,95						
SCO4338	0,43	0,51	0,44	1,20	1,04	0,87						
SCO4340	0,86	2,48	4,60	2,90	5,38	1,86						
SCO4341	1,14	0,64	0,44	0,56	0,39	0,69						
SCO4342	0,86	0,68	1,40	0,79	1,62	2,06						
SCO4346	1,08	1,84	2,26	1,70	2,09	1,23						
SCO4347	2,47	42,63	27,99	17,25	11,32	0,66						
SCO4348	2,62	39,81	22,53	15,22	8,62	0,57						
SCO4349	2,89	39,43	21,05	13,66	7,29	0,53						
SCO4350	5,51	86,96	43,43	15,79	7,89	0,50						
SCO4352	1,66	2,41	1,44	1,45	0,87	0,60						
SCO4353	1,94	2,44	2,73	1,26	1,41	1,12						
SCO4354	1,72	2,32	2,90	1,35	1,69	1,25						
SCO4356	0,73	0,61	0,22	0,84	0,31	0,37						
SCO4357	0,70	0,79	0,49	1,12	0,69	0,62						
SCO4358	0,71	0,47	0,36	0,66	0,51	0,77						
SCO4359	0,92	2,93	9,87	3,19	10,77	3,37						
SCO4360	1,10	3,25	10,38	2,95	9,41	3,19						
SCO4361	1,10	2,32	5,11	2,10	4,62	2,20						
SCO4366	1,52	0,75	2,56	0,49	1,68	3,42						
SCO4367	1,11	1,85	2,53	1,67	2,28	1,36						
SCO4368	1,10	1,79	2,68	1,63	2,44	1,50						
SCO4372	0,75	0,51	0,28	0,68	0,38	0,56						
SCO4373	0,80	0,55	0,31	0,69	0,39	0,57						
SCO4374	0,34	0,26	0,30	0,76	0,88	1,16						
SCO4375	0,49	0,69	0,35	1,43	0,71	0,50						
SCO4377	1,27	0,67	0,37	0,52	0,29	0,55						
SCO4378	1,76	1,40	2,03	0,80	1,15	1,45						
SCO4379	1,31	1,34	2,07	1,03	1,58	1,54						
SCO4380	1,65	1,40	2,86	0,85	1,74	2,05						
SCO4381	1,02	0,77	1,88	0,75	1,84	2,45						
SCO4382	1,81	1,57	4,95	0,87	2,74	3,15						
SCO4383	0,84	1,12	2,17	1,33	2,58	1,94						
SCO4385	0,59	0,43	0,23	0,73	0,40	0,54						
SCO4386	0,71	0,35	0,24	0,49	0,33	0,67						
SCO4387	1,43	0,68	0,56	0,48	0,39	0,83						
SCO4388	1,07	1,03	2,21	0,96	2,06	2,15						
SCO4389	2,08	0,75	0,47	0,36	0,23	0,62						
SCO4390	1,73	1,64	2,17	0,95	1,25	1,32						
SCO4391	1,52	1,97	2,02	1,30	1,33	1,02						
SCO4392	1,15	1,47	2,45	1,28	2,13	1,67						
SCO4395	1,12	1,49	2,94	1,33	2,62	1,98						
SCO4396	1,02	0,75	0,29	0,74	0,28	0,38						
SCO4397	1,00	1,03	0,39	1,03	0,39	0,37						
SCO4398	1,77	55,00	17,65	31,04	9,96	0,32						
SCO4399	3,76	8,27	26,33	2,20	7,00	3,18						
SCO4401	58,66	20,34	29,29	0,35	0,50	1,44						
SCO4403	1,06	0,53	0,68	0,50	0,64	1,28						
SCO4404	0,57	0,26	0,28	0,45	0,50	1,10						
SCO4405	0,43	0,38	0,35	0,88	0,82	0,93						
SCO4408	1,02	4,67	7,54	4,58	7,40	1,62						
SCO4409	1,24	6,74	12,13	5,43	9,77	1,80						
SCO4410	1,27	0,84	0,49	0,67	0,38	0,58						
SCO4411	1,46	4,64	5,90	3,18	4,05	1,27						
SCO4412	0,84	7,02	18,47	8,40	22,09	2,63						
SCO4415	1,09	0,51	0,29	0,47	0,26	0,56						
SCO4416	2,04	1,60	0,93	0,79	0,46	0,58						
SCO4418	0,49	0,84	0,70	1,73	1,43	0,83						
SCO4419	0,68	1,38	1,55	2,03	2,28	1,12						
SCO4424	0,89	0,50	0,39	0,57	0,44	0,77						
SCO4425	1,33	4,63	9,77	3,49	7,36	2,11						
SCO4427	1,60	1,97	2,52	1,23	1,58	1,28						
SCO4428	2,56	8,85	9,87	3,46	3,85	1,12						
SCO4430	0,79	0,51	0,31	0,65	0,40	0,61						
SCO4434	0,67	0,47	0,52	0,70	0,77	1,09						
SCO4435	0,88	0,50	0,31	0,57	0,35	0,61						
SCO4437	0,92	0,50	0,28	0,55	0,31	0,56						
SCO4438	0,85	0,63	0,39	0,73	0,46	0,63						
SCO4440	4,78	2,66	9,00	0,56	1,88	3,39						
SCO4441	3,36	16,39	20,35	4,88	6,06	1,24						
SCO4442	3,27	36,22	62,50	11,07	19,10	1,73						
SCO4445	0,71	0,53	0,43	0,75	0,61	0,82						
SCO4448	0,76	0,44	0,13	0,58	0,17	0,29						
SCO4449	0,81	0,53	0,23	0,65	0,29	0,44						
SCO4451	0,91	0,65	0,50	0,72	0,55	0,77						
SCO4452	1,03	1,50	2,14	1,46	2,07	1,42						
SCO4453	0,81	1,29	1,74	1,59	2,14	1,35						
SCO4454	0,62	0,56	0,33	0,91	0,54	0,59						
SCO4456	0,89	0,95	0,41	1,06	0,46	0,43						
SCO4458	0,42	0,51	0,29	1,21	0,69	0,57						
SCO4459	0,83	0,54	0,23	0,66	0,28	0,43						
SCO4460	1,13	2,44	2,59	2,17	2,30	1,06						
SCO4462	0,69	0,53	0,35	0,76	0,51	0,66						
SCO4463	0,78	0,41	0,16	0,52	0,21	0,40						
SCO4465	0,77	0,75	0,50	0,98	0,65	0,66						
SCO4466	1,32	0,57	0,47	0,44	0,35	0,81						
SCO4468	1,84	1,06	0,91	0,58	0,49	0,86						
SCO4470	0,70	0,73	0,44	1,04	0,62	0,60						
SCO4471	0,59	0,29	1,14	0,49	1,93	3,91						
SCO4472	0,71	0,32	0,42	0,45	0,59	1,32						
SCO4473	0,92	0,34	0,29	0,37	0,32	0,87						
SCO4474	0,75	0,33	0,30	0,44	0,40	0,92						
SCO4475	0,51	0,44	0,47	0,85	0,92	1,08						
SCO4476	1,02	20,45	9,96	19,99	9,74	0,49						
SCO4479	0,40	0,81	0,47	2,05	1,18	0,58						
SCO4480	0,78	0,92	0,32	1,18	0,41	0,35						
SCO4481	1,26	1,98	0,63	1,57	0,50	0,32						
SCO4482	0,82	0,32	0,26	0,39	0,32	0,82						
SCO4487	1,00	0,62	0,37	0,62	0,37	0,60						
SCO4490	0,88	0,55	0,40	0,63	0,45	0,72						
SCO4491	0,92	0,55	0,33	0,59	0,36	0,60						
SCO4492	1,00	0,33	0,17	0,32	0,17	0,51						
SCO4493	1,31	0,46	0,32	0,35	0,25	0,71						
SCO4494	1,07	0,52	0,37	0,49	0,35	0,71						
SCO4495	0,49	0,25	0,17	0,51	0,34	0,67						
SCO4497	0,78	0,65	0,42	0,83	0,54	0,65						
SCO4498	1,68	0,20	0,79	0,12	0,47	4,01						
SCO4499	1,00	0,23	0,43	0,23	0,43	1,87						
SCO4500	0,73	0,19	0,19	0,26	0,26	1,00						
SCO4502	0,93	0,54	0,50	0,58	0,54	0,92						
SCO4503	0,55	0,77	1,76	1,40	3,20	2,28						
SCO4504	0,27	0,25	0,88	0,94	3,28	3,50						
SCO4507	0,88	0,60	0,50	0,67	0,56	0,84						
SCO4508	0,85	0,60	0,28	0,71	0,33	0,47						
SCO4515	1,59	1,70	2,04	1,07	1,28	1,20						
SCO4516	1,77	2,29	2,59	1,30	1,46	1,13						
SCO4517	0,63	0,43	0,62	0,69	0,98	1,42						
SCO4518	0,75	0,50	0,69	0,67	0,92	1,39						
SCO4519	1,27	0,46	0,57	0,36	0,45	1,23						
SCO4521	0,81	0,50	0,87	0,62	1,07	1,73						
SCO4522	0,76	0,52	1,53	0,69	2,01	2,93						
SCO4524	0,82	0,84	0,50	1,02	0,61	0,59						
SCO4525	0,78	0,71	0,33	0,92	0,43	0,47						
SCO4526	0,77	0,58	0,25	0,75	0,32	0,43						
SCO4527	0,77	0,50	0,20	0,64	0,27	0,41						
SCO4528	0,75	0,52	0,31	0,69	0,42	0,60						
SCO4529	0,78	0,54	0,42	0,69	0,54	0,78						
SCO4530	0,90	0,53	0,36	0,59	0,40	0,69						
SCO4531	0,81	0,39	0,27	0,49	0,34	0,69						
SCO4532	0,92	0,47	0,32	0,51	0,34	0,67						
SCO4533	0,87	0,43	0,40	0,49	0,46	0,92						
SCO4534	0,83	0,38	0,39	0,46	0,48	1,04						
SCO4535	0,93	0,38	0,33	0,41	0,35	0,86						
SCO4536	0,93	0,36	0,34	0,39	0,37	0,95						
SCO4537	1,03	0,54	0,42	0,52	0,41	0,78						
SCO4541	0,93	0,51	0,46	0,55	0,50	0,91						
SCO4543	0,86	0,84	0,40	0,97	0,47	0,48						
SCO4544	1,81	10,15	3,72	5,62	2,06	0,37						
SCO4545	1,50	7,23	3,42	4,82	2,28	0,47						
SCO4546	0,97	1,54	0,74	1,59	0,77	0,48						
SCO4547	0,83	0,72	0,28	0,88	0,34	0,39						
SCO4548	0,86	0,71	0,37	0,82	0,43	0,52						
SCO4549	0,74	0,48	0,21	0,65	0,28	0,44						
SCO4551	0,88	0,59	0,32	0,67	0,36	0,54						
SCO4552	1,06	3,22	5,32	3,04	5,03	1,65						
SCO4556	1,20	0,52	0,35	0,44	0,30	0,68						
SCO4557	1,29	2,41	2,70	1,88	2,10	1,12						
SCO4558	1,68	6,01	7,86	3,57	4,67	1,31						
SCO4561	0,73	0,58	1,35	0,80	1,85	2,31						
SCO4562	18,95	23,17	114,63	1,22	6,05	4,95						
SCO4563	9,08	13,19	83,59	1,45	9,20	6,34						
SCO4564	6,81	10,83	78,73	1,59	11,56	7,27						
SCO4565	3,88	9,69	70,92	2,50	18,26	7,32						
SCO4566	1,55	4,50	29,83	2,90	19,23	6,62						
SCO4567	0,97	2,05	8,96	2,11	9,22	4,38						
SCO4568	2,58	8,38	75,35	3,25	29,18	8,99						
SCO4569	2,24	7,28	65,12	3,26	29,13	8,94						
SCO4570	2,10	6,08	56,17	2,90	26,74	9,23						
SCO4571	1,77	5,84	48,40	3,30	27,33	8,28						
SCO4572	1,85	5,79	60,43	3,12	32,60	10,43						
SCO4573	1,51	4,85	40,22	3,21	26,63	8,30						
SCO4574	1,71	5,42	43,78	3,17	25,59	8,07						
SCO4575	1,31	4,96	37,14	3,78	28,30	7,49						
SCO4576	1,92	2,01	7,47	1,04	3,88	3,73						
SCO4578	1,42	1,44	2,49	1,01	1,75	1,73						
SCO4579	1,84	2,52	2,85	1,37	1,55	1,13						
SCO4580	2,16	4,25	2,99	1,97	1,38	0,70						
SCO4581	1,03	8,56	9,93	8,33	9,66	1,16						
SCO4582	0,75	2,19	1,94	2,91	2,57	0,88						
SCO4583	0,76	0,38	0,21	0,50	0,28	0,55						
SCO4584	0,80	1,99	3,49	2,50	4,38	1,75						
SCO4585	0,79	1,54	2,00	1,95	2,52	1,29						
SCO4587	0,38	0,31	0,24	0,81	0,63	0,78						
SCO4591	0,66	0,27	0,22	0,41	0,33	0,79						
SCO4592	1,03	0,72	2,06	0,70	2,01	2,87						
SCO4594	1,23	2,54	6,16	2,07	5,03	2,43						
SCO4595	1,32	1,75	2,59	1,32	1,96	1,48						
SCO4599	1,21	0,60	0,36	0,49	0,30	0,61						
SCO4600	1,06	0,45	0,38	0,43	0,36	0,84						
SCO4601	0,75	0,34	0,23	0,46	0,30	0,67						
SCO4602	0,81	0,37	0,31	0,45	0,38	0,84						
SCO4603	0,93	0,39	0,27	0,42	0,29	0,69						
SCO4604	0,89	0,41	0,33	0,46	0,37	0,80						
SCO4605	0,89	0,45	0,40	0,50	0,45	0,89						
SCO4606	0,84	0,40	0,38	0,48	0,45	0,93						
SCO4607	0,82	0,38	0,43	0,46	0,52	1,13						
SCO4608	0,79	0,43	0,31	0,55	0,39	0,71						
SCO4609	0,73	1,69	1,55	2,31	2,12	0,92						
SCO4610	1,52	3,51	3,85	2,31	2,53	1,10						
SCO4611	0,97	1,78	3,41	1,83	3,50	1,92						
SCO4615	0,99	2,13	4,82	2,14	4,85	2,27						
SCO4617	0,76	1,31	3,61	1,71	4,73	2,77						
SCO4619	1,65	2,96	6,67	1,79	4,03	2,25						
SCO4620	0,81	2,30	4,88	2,83	5,99	2,12						
SCO4621	1,15	4,39	10,93	3,81	9,50	2,49						
SCO4625	0,90	1,07	1,88	1,19	2,09	1,77						
SCO4630	0,75	1,07	1,59	1,43	2,11	1,48						
SCO4631	1,22	1,98	3,61	1,63	2,96	1,82						
SCO4632	1,32	3,32	8,67	2,51	6,55	2,61						
SCO4634	0,93	5,19	3,19	5,57	3,42	0,61						
SCO4635	0,47	0,62	0,48	1,32	1,03	0,78						
SCO4638	0,64	0,68	0,27	1,06	0,42	0,40						
SCO4639	0,57	0,70	0,33	1,23	0,58	0,47						
SCO4640	0,41	1,43	0,26	3,47	0,62	0,18						
SCO4641	0,70	6,25	0,34	8,90	0,49	0,06						
SCO4642	1,57	10,50	0,35	6,67	0,22	0,03						
SCO4644	1,05	2,13	2,25	2,03	2,14	1,05						
SCO4647	0,59	0,68	0,48	1,14	0,81	0,71						
SCO4651	0,92	1,12	2,77	1,21	2,99	2,48						
SCO4652	0,71	0,67	0,24	0,95	0,34	0,35						
SCO4653	0,69	0,66	0,29	0,97	0,42	0,43						
SCO4654	0,49	0,71	0,60	1,44	1,21	0,84						
SCO4656	0,82	0,49	0,50	0,60	0,61	1,00						
SCO4657	0,90	0,39	0,26	0,43	0,29	0,66						
SCO4658	0,87	0,49	0,29	0,57	0,33	0,58						
SCO4659	0,59	0,71	0,31	1,20	0,52	0,43						
SCO4660	0,60	0,75	0,34	1,25	0,58	0,46						
SCO4661	0,64	0,77	0,29	1,20	0,45	0,38						
SCO4663	0,64	0,42	0,17	0,65	0,26	0,40						
SCO4664	0,58	0,43	0,17	0,74	0,29	0,39						
SCO4669	1,02	1,98	3,59	1,95	3,53	1,81						
SCO4671	0,95	1,83	0,87	1,92	0,92	0,48						
SCO4672	1,13	2,36	1,52	2,10	1,35	0,64						
SCO4673	0,83	4,79	3,67	5,77	4,42	0,77						
SCO4674	1,49	6,92	5,53	4,63	3,70	0,80						
SCO4675	1,42	20,18	26,09	14,20	18,35	1,29						
SCO4676	2,29	75,69	197,81	33,07	86,43	2,61						
SCO4677	7,80	312,10	697,27	40,00	89,37	2,23						
SCO4678	2,05	12,17	15,65	5,95	7,65	1,29						
SCO4679	1,81	4,00	6,74	2,21	3,72	1,68						
SCO4681	1,02	1,59	2,04	1,55	1,99	1,28						
SCO4683	0,58	0,88	0,21	1,51	0,36	0,24						
SCO4684	0,09	0,08	0,07	0,99	0,84	0,85						
SCO4685	0,22	0,09	0,04	0,43	0,18	0,42						
SCO4686	0,63	0,43	0,25	0,67	0,40	0,59						
SCO4689	2,40	1,23	5,56	0,51	2,32	4,52						
SCO4690	1,13	0,54	1,55	0,48	1,37	2,87						
SCO4694	0,52	0,74	0,21	1,43	0,41	0,29						
SCO4701	0,53	0,65	0,33	1,21	0,62	0,51						
SCO4702	0,55	0,66	0,33	1,21	0,60	0,49						
SCO4703	0,56	0,69	0,32	1,24	0,58	0,47						
SCO4704	0,59	0,68	0,34	1,15	0,57	0,50						
SCO4705	0,62	0,77	0,36	1,23	0,58	0,47						
SCO4706	0,66	0,79	0,44	1,19	0,67	0,56						
SCO4707	0,65	0,73	0,41	1,12	0,64	0,57						
SCO4708	0,66	0,69	0,35	1,04	0,53	0,51						
SCO4709	0,68	0,76	0,39	1,11	0,57	0,51						
SCO4710	0,68	0,83	0,41	1,22	0,60	0,49						
SCO4711	0,71	0,87	0,42	1,23	0,59	0,48						
SCO4712	0,67	0,86	0,40	1,29	0,59	0,46						
SCO4713	0,65	0,78	0,35	1,19	0,54	0,46						
SCO4714	0,69	0,85	0,39	1,23	0,57	0,46						
SCO4715	0,71	0,85	0,41	1,20	0,57	0,48						
SCO4716	0,65	0,80	0,41	1,23	0,64	0,52						
SCO4717	0,64	0,76	0,38	1,17	0,59	0,50						
SCO4718	0,64	0,74	0,39	1,16	0,61	0,52						
SCO4719	0,67	0,75	0,35	1,13	0,52	0,46						
SCO4720	0,68	0,74	0,35	1,09	0,52	0,48						
SCO4721	0,71	0,80	0,32	1,12	0,45	0,41						
SCO4723	0,69	0,71	0,40	1,04	0,58	0,56						
SCO4724	0,57	0,53	0,32	0,93	0,57	0,61						
SCO4725	0,66	0,57	0,29	0,87	0,44	0,51						
SCO4726	0,65	0,65	0,40	1,00	0,62	0,62						
SCO4727	0,61	0,66	0,37	1,08	0,61	0,56						
SCO4728	0,62	0,66	0,37	1,07	0,60	0,56						
SCO4729	0,62	0,70	0,39	1,12	0,62	0,55						
SCO4730	0,64	0,69	0,26	1,07	0,41	0,38						
SCO4731	0,55	0,45	0,23	0,82	0,42	0,52						
SCO4733	0,61	0,62	0,46	1,02	0,76	0,74						
SCO4734	0,50	0,72	0,42	1,44	0,83	0,58						
SCO4735	0,51	0,77	0,47	1,51	0,92	0,61						
SCO4736	0,49	0,60	0,25	1,23	0,52	0,43						
SCO4737	0,82	0,58	0,41	0,72	0,50	0,69						
SCO4739	0,83	0,31	0,32	0,37	0,39	1,05						
SCO4740	0,65	0,32	0,38	0,49	0,58	1,17						
SCO4743	0,90	0,58	0,30	0,64	0,34	0,52						
SCO4744	1,14	0,67	0,50	0,59	0,44	0,75						
SCO4745	0,68	0,42	0,33	0,62	0,48	0,77						
SCO4746	0,68	0,47	0,36	0,69	0,54	0,77						
SCO4747	0,71	0,55	0,46	0,77	0,64	0,84						
SCO4748	0,86	0,43	1,56	0,50	1,82	3,62						
SCO4749	1,61	6,07	4,70	3,77	2,92	0,78						
SCO4750	0,75	0,55	0,49	0,74	0,65	0,89						
