Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO2534	-0,534	-0,636	-0,746
SCO2873	-1,147	-0,727	-0,746
SCO2442	-0,922	-0,822	-0,746
SCO7397	-0,658	-0,904	-0,746
SCO1520	-0,663	-0,778	-0,749
SCO5379	-0,631	-1,085	-0,751
SCO1519	-0,88	-0,457	-0,755
SCO4231	-0,599	-0,888	-0,756
SCO3283	-0,906	-0,936	-0,756
SCO7694	-1,127	-0,973	-0,758
SCO4082	-0,569	-0,784	-0,76
SCO1022	-0,564	-0,83	-0,76
SCO0429	-0,296	-0,62	-0,761
SCO1787	0,743	-0,744	-0,761
SCO3143	-0,684	-0,667	-0,762
SCO5255	-0,579	-1,222	-0,763
SCO2615	-0,642	-0,723	-0,764
SCO4016	-0,852	-0,806	-0,765
SCO6126	-1,022	-1,371	-0,766
SCO5133	-0,597	-0,75	-0,771
SCO1953	-0,854	-0,852	-0,771
SCO2986	-0,616	-0,882	-0,772
SCO4268	-1,776	-0,956	-0,772
SCO6511	-0,791	-0,72	-0,773
SCO1820	-0,539	-1,027	-0,775
SCO1847	-0,514	-0,545	-0,776
SCO3388	-0,535	-0,603	-0,777
SCO1840	-0,487	-0,423	-0,778
SCO7522	-1,585	-0,818	-0,778
SCO3522	-1,436	-0,724	-0,78
SCO1902	-0,8	-0,968	-0,781
SCO6087	-1,18	-0,794	-0,783
SCO2232	0,48	-0,657	-0,784
SCO4628	-0,543	-0,785	-0,785
SCO3037	-0,971	-0,856	-0,787
SCO0491	0,924	-0,397	-0,788
SCO2614	-0,568	-0,993	-0,788
SCO4806	-0,48	-0,701	-0,792
SCO6018	-0,326	-0,864	-0,792
SCO5260	0,865	-0,642	-0,795
SCO6221	-0,803	-0,405	-0,796
SCO6075	-0,393	-0,887	-0,796
SCO3602	-1,613	-0,696	-0,799
SCO6263	-1,035	-0,899	-0,801
SCO1681	-1,076	-1,21	-0,803
SCO5547	-0,292	-0,626	-0,805
SCO7495	-0,438	-0,588	-0,807
SCO3425	1,199	-0,746	-0,81
SCO6687	-0,579	-0,875	-0,813
SCO2054	-0,67	-0,739	-0,815
SCO0939	-1,453	-0,924	-0,819
SCO2852	-0,541	-0,962	-0,819
SCO3403	-0,839	-1,912	-0,819
SCO6459	-0,311	-0,633	-0,821
SCO3227	-0,583	-0,725	-0,822
SCO4449	-0,971	-0,908	-0,822
SCO6502	-0,684	-1,158	-0,823
SCO5928	-0,753	-0,888	-0,824
SCO0156	-0,455	-0,837	-0,825
SCO5535	1,214	-0,84	-0,826
SCO3185	-0,54	-0,842	-0,827
SCO0426	2,051	-0,769	-0,829
SCO5676	-1,688	-1,284	-0,83
SCO4212	-0,547	-0,863	-0,836
SCO4109	0,853	-0,543	-0,838
SCO2024	-0,499	-0,582	-0,838
SCO6701	-0,568	-0,702	-0,838
SCO3670	-1,492	-0,75	-0,838
SCO3876	-0,597	-0,907	-0,838
SCO2437	0,633	-0,408	-0,841
SCO1133	-0,595	-0,494	-0,841
SCO1447	-0,914	-0,921	-0,844
SCO1067	-0,614	-0,887	-0,845
SCO1518	-0,985	-0,962	-0,852
SCO7100	-0,677	-1,056	-0,852
SCO5926	-0,515	-0,83	-0,853
SCO1342	-1,087	-0,882	-0,853
SCO6259	-0,55	-0,896	-0,853
SCO7603	-0,747	-0,778	-0,855
SCO5019	-0,714	-1,088	-0,855
SCO5066	-0,572	-0,825	-0,856
SCO3911	-1,559	-1,19	-0,856
SCO3952	-0,823	-0,649	-0,857
SCO1654	-0,593	-1,124	-0,857
SCO4285	-1,348	-1,154	-0,857
SCO4434	-1,01	-0,989	-0,858
SCO2913	-0,444	-1,008	-0,858
SCO0427	-0,669	-0,902	-0,859
SCO2994	-0,508	-0,961	-0,86
SCO0157	-0,57	-0,689	-0,863
SCO2849	-0,421	-1,227	-0,866
SCO4199	1,021	-0,735	-0,871
SCO5536	1,21	-1,139	-0,871
SCO5772	-1,383	-0,916	-0,874
SCO3671	-1,588	-0,881	-0,882
SCO6743	-1,252	-1,247	-0,882
SCO3732	-0,935	-0,588	-0,883
SCO4954	-0,947	-1,091	-0,883
SCO1616	-0,725	-1	-0,885
SCO0740	0,584	-0,903	-0,888
SCO7724	-0,636	-0,901	-0,89
SCO6694	-2,081	-1,747	-0,891
SCO2141	-0,344	-0,866	-0,892
SCO3429	0,681	-0,927	-0,892
SCO3912	-0,925	-0,87	-0,893
SCO3389	-0,724	-0,917	-0,894
SCO3582	-1,141	-1,113	-0,894
SCO3387	-1,148	-1,034	-0,899
SCO3242	-0,735	-0,871	-0,906
SCO5236	-1,372	-1,293	-0,907
SCO7807	-1,447	-1,373	-0,908
SCO3053	0,318	-0,332	-0,909
SCO1968	1,002	-0,92	-0,911
SCO1916	0,569	-0,611	-0,912
SCO2093	0,505	-0,928	-0,912
SCO1412	1,195	-0,88	-0,913
SCO6148	-0,494	-1,165	-0,916
SCO2319	-0,907	-0,72	-0,917
SCO3907	-0,539	-0,854	-0,917
SCO2468	-0,78	-0,764	-0,921
SCO3719	-0,888	-0,787	-0,922
SCO2356	-0,972	-0,955	-0,922
SCO6100	-0,937	-0,902	-0,923
SCO1873	-0,644	-1,095	-0,926
SCO2755	-0,802	-0,516	-0,928
SCO2109	-0,753	-0,88	-0,93
SCO3874	-1,6	-1,269	-0,93
SCO5184	-1,179	-0,756	-0,931
SCO0670	-0,474	-0,824	-0,931
SCO0430	-0,619	-0,836	-0,931
SCO5781	-1,635	-1,042	-0,931
SCO5977	-0,422	-0,683	-0,933
SCO2628	0,969	-0,786	-0,935
SCO5836	-0,908	-0,951	-0,936
SCO2737	-1,372	-1,094	-0,937
SCO5761	-1,441	-1,148	-0,937
SCO6099	-0,536	-0,465	-0,939
SCO0493	0,518	-0,798	-0,94
SCO2261	-0,724	-0,947	-0,942
SCO2298	-1,144	-0,967	-0,949
SCO1380	-1,735	-1,442	-0,95
SCO3675	-0,308	-0,635	-0,952
SCO4018	-0,638	-1,091	-0,956
SCO3118	-0,53	-0,778	-0,957
SCO2214	-0,982	-1,027	-0,957
SCO0483	-0,613	-1,044	-0,957
SCO4215	-0,786	-1,127	-0,957
SCO0032	-1,121	-1,325	-0,958
SCO5370	-1,004	-0,833	-0,96
SCO3199	-1,304	-1,03	-0,963
SCO3235	-0,403	-0,859	-0,964
SCO1483	-0,51	-0,939	-0,965
SCO7286	-0,458	-1,083	-0,967
SCO1765	-0,673	-1,076	-0,969
SCO1448	-1,919	-1,338	-0,972
SCO3229	-0,394	-0,698	-0,977
SCO3131	0,342	-0,888	-0,98
SCO0996	1,721	0,725	-0,981
SCO3418	-1,104	-1,063	-0,981
SCO3176	-0,486	-0,879	-0,982
SCO4987	-1,198	-0,945	-0,985
SCO6499	-1,115	-2,057	-0,986
SCO2731	-1,61	-1,22	-0,99
SCO0875	-1,708	-0,89	-0,994
SCO4940	-0,616	-1,107	-0,995
SCO2213	-0,814	-0,918	-0,998
SCO0543	0,695	-1,051	-0,998
SCO2065	-1,005	-1,109	-0,998
SCO0753	0,727	-0,811	-0,999
SCO3360	-1,195	-0,821	-1
SCO7200	-0,508	-1,01	-1
SCO4999	-0,773	-0,793	-1,01
SCO5486	-1,011	-1,005	-1,012
SCO4413	-0,954	-0,898	-1,014
SCO3542	-1,219	-0,846	-1,019
SCO7764	-0,792	-1,241	-1,021
SCO2992	-0,34	-1,126	-1,022
SCO2564	-1,145	-1,221	-1,022
SCO6177	-0,776	-1,225	-1,022
SCO4364	-0,705	-1,036	-1,027
SCO2613	-0,497	-1,089	-1,03
SCO4298	0,43	-1,044	-1,032
SCO3339	-0,763	-0,978	-1,036
SCO0185	-0,804	-0,97	-1,037
SCO2793	-0,456	-1,022	-1,037
SCO4424	-1,22	-1,63	-1,038
SCO2064	-0,913	-1,052	-1,044
SCO5510	1,04	-0,759	-1,046
SCO3287	-0,92	-0,903	-1,046
SCO3541	-1,531	-1,189	-1,046
SCO2958	1,572	-0,918	-1,047
SCO6446	-1,28	-0,921	-1,047
SCO3434	-1,472	-1,356	-1,049
SCO4198	0,655	-1,22	-1,051
SCO5619	-0,65	-1,035	-1,052
SCO7654	-0,672	-0,686	-1,056
SCO3784	-0,464	-0,899	-1,057
SCO1366	-1,561	-1,92	-1,058
SCO7136	-0,512	-1,028	-1,06
SCO3392	-0,801	-1,173	-1,062
SCO6435	-0,407	-0,628	-1,063
SCO7466	0,552	-0,898	-1,064
SCO0992	2,077	1,578	-1,066
SCO0492	1,254	-0,57	-1,068
SCO2390	0,8	-0,92	-1,07
SCO2383	0,814	-0,972	-1,072
SCO4850	-0,686	-0,902	-1,074
SCO0263	-0,896	-1,051	-1,075
SCO4804	-2,222	-1,384	-1,082
SCO0993	1,146	0,848	-1,085
SCO4244	1,094	-1,036	-1,085
SCO1653	-1,667	-1,308	-1,085
SCO5860	-0,921	-1,227	-1,091
SCO4685	-0,938	-1,155	-1,093
SCO0558	-1,886	-1,239	-1,094
SCO6318	-0,606	-1,232	-1,096
SCO3402	-0,735	-1,317	-1,097
SCO4739	-0,711	-0,756	-1,1
SCO3961	-0,769	-0,791	-1,102
SCO4556	-0,727	-1,35	-1,108
SCO4287	-1,532	-1,381	-1,108
SCO6953	-1,55	-1,469	-1,114
SCO1392	-1,622	-1,296	-1,117
SCO3002	-0,821	-1,42	-1,117
SCO1821	-1,573	-1,217	-1,118
SCO6449	-0,896	-1,079	-1,119
SCO2862	-0,49	-1,103	-1,119
SCO0490	0,937	-1,166	-1,119
SCO0180	1,624	-1,275	-1,119
SCO4801	-2,047	-1,362	-1,121
SCO4808	0,99	-0,776	-1,123
SCO3696	-1,755	-1,724	-1,123
SCO6693	-1,045	-1,21	-1,124
SCO0226	0,461	-1,386	-1,129
SCO4254	0,497	-1,377	-1,135
SCO6320	-1,305	-1,48	-1,141
SCO0173	1,465	-1,437	-1,143
SCO2605	-1,61	-1,075	-1,152
SCO3309	-0,752	-1,165	-1,16
SCO3917	-1,556	-1,034	-1,17
SCO1874	-0,827	-1,392	-1,173
SCO3519	-0,662	-1,204	-1,177
SCO4577	-1,235	-0,99	-1,183
SCO3909	-1,179	-1,35	-1,184
SCO6778	-0,623	-0,732	-1,185
SCO3036	-1,33	-1,469	-1,186
SCO0646	-1,445	-1,147	-1,189
SCO3089	-1,696	-1,484	-1,189
SCO4583	-1,456	-1,643	-1,189
SCO1453	0,295	-1,218	-1,191
SCO6779	-0,73	-1,436	-1,195
SCO3367	-1,702	-1,571	-1,195
SCO4630	-1,248	-1,62	-1,195
SCO6494	-0,614	-0,896	-1,197
SCO3362	-0,946	-1,275	-1,197
SCO4377	-0,496	-1,21	-1,199
SCO6686	-1,051	-1,421	-1,201
SCO5646	-0,781	-0,834	-1,202
SCO7571	-0,603	-1,231	-1,202
SCO1404	-0,63	-0,995	-1,203
SCO1134	-1,295	-1,179	-1,203
SCO0795	-1,348	-1,261	-1,214
SCO2206	-0,52	-1,186	-1,215
SCO6403	-0,828	-1,573	-1,217
SCO4242	0,812	-1,288	-1,218
SCO3564	-1,56	-1,446	-1,218
SCO1193	-0,715	-1,146	-1,228
SCO3000	-2,55	-1,924	-1,228
SCO1875	-0,593	-1,511	-1,239
SCO2352	-2,556	-1,332	-1,24
SCO7615	-0,777	-0,85	-1,241
SCO3278	-0,749	-1,083	-1,242
SCO5254	-1,45	-2,459	-1,242
SCO5566	-1,85	-1,598	-1,245
SCO2136	0,328	-0,739	-1,247
SCO4186	-1,215	-1,512	-1,247
SCO1631	-1,202	-1,126	-1,248
SCO4559	-0,605	-1,223	-1,249
SCO0189	-0,817	-1,124	-1,253
SCO5185	-1,233	-0,925	-1,259
SCO3165	-0,692	-1,028	-1,26
SCO4145	-0,772	-1,095	-1,26
SCO0428	-0,886	-1,088	-1,261
SCO7094	-0,901	-1,215	-1,261
SCO4941	-0,553	-1,298	-1,262
SCO4493	-0,549	-1,475	-1,263
SCO2241	1,033	-1,09	-1,264
SCO1506	-1,059	-1,047	-1,266
SCO7271	-0,97	-1,154	-1,267
SCO2315	-1,078	-1,069	-1,268
SCO1680	-1,194	-1,42	-1,27
SCO1663	0,468	-0,984	-1,273
SCO6273	-1,062	-1,434	-1,273
SCO4624	-0,753	-1,024	-1,282
SCO3686	-1,496	-1,703	-1,282
SCO2863	-1,608	-1,118	-1,283
SCO4988	-1,255	-0,825	-1,284
SCO6298	-0,784	-1,074	-1,286
SCO4483	-0,824	-1,359	-1,289
SCO1852	-0,61	-0,773	-1,29
SCO0188	-1,348	-1,459	-1,292
SCO4156	-1,288	-1,341	-1,298
SCO3890	-0,812	-1,717	-1,299
SCO2107	-1,297	-1,204	-1,3
SCO5770	-3,084	-1,821	-1,301
SCO3897	-1,569	-0,934	-1,303
SCO3285	-1,526	-1,237	-1,308
SCO2845	-1,298	-1,022	-1,31
SCO5285	-1,843	-2,118	-1,31
SCO5769	-3,107	-2,102	-1,311
SCO4313	-1,231	-1,242	-1,313
SCO6267	-1,75	-0,661	-1,315
SCO1785	1,327	-1,127	-1,32
SCO1935	-0,633	-1,271	-1,322
SCO6199	0,519	-0,949	-1,337
SCO7061	-1,171	-1,503	-1,342
SCO2781	-0,478	-1,453	-1,343
SCO1856	-0,838	-1,012	-1,345
SCO0133	-0,931	-1,345	-1,345
SCO4004	-1,191	-1,418	-1,347
SCO5657	-1,37	-1,36	-1,353
SCO4308	-1,248	-1,204	-1,354
SCO7157	-0,834	-1,361	-1,357
SCO1409	-0,898	-1,165	-1,359
SCO4919	-0,808	-1,612	-1,359
SCO2212	-1,317	-0,989	-1,362
SCO0769	-0,406	-1,51	-1,366
SCO0869	-1,21	-1,014	-1,367
SCO4288	-0,784	-1,322	-1,369
SCO5859	-1,194	-1,457	-1,375
SCO4223	-1,353	-1,643	-1,377
SCO4994	0,97	-1,312	-1,393
SCO6109	0,518	-0,97	-1,394
SCO1767	-1,593	-1,401	-1,396
SCO1343	-1,833	-1,63	-1,396
SCO4019	-1,052	-1,434	-1,398
SCO7646	-1,108	-1,397	-1,4
SCO1567	-1,834	-1,674	-1,405
SCO5815	-1,527	-1,538	-1,407
SCO2346	-1,411	-1,517	-1,412
SCO3822	-1,063	-1,173	-1,413
SCO3090	-1,201	-1,567	-1,413
SCO6565	-1,766	-1,721	-1,413
SCO4543	-1,059	-1,266	-1,434
SCO3629	-0,488	-1,269	-1,436
SCO2162	-1,035	-1,936	-1,436
SCO0761	0,869	-1,988	-1,436
SCO1046	-2,342	-2,004	-1,436
SCO5567	-1,695	-1,836	-1,445
SCO0593	-1,819	-1,336	-1,446
SCO0225	-0,658	-1,613	-1,446
SCO5918	-0,923	-1,587	-1,449
SCO4762	-0,508	-0,795	-1,451
SCO2354	-1,535	-1,714	-1,454
SCO2189	-0,89	-1,287	-1,456
SCO0029	-0,86	-1,658	-1,456
SCO4245	1,064	-1,746	-1,463
SCO4346	-1,167	-1,44	-1,472
SCO3117	-1,029	-1,306	-1,478
SCO4337	-0,563	-1,473	-1,482
SCO7608	-0,674	-1,602	-1,491
SCO2498	-0,537	-1,372	-1,494
SCO6122	-1,063	-1,473	-1,495
SCO0729	-1,186	-0,545	-1,497
SCO1293	2,265	-1,344	-1,498
SCO0645	-2,383	-1,279	-1,502
SCO2905	-1,279	-2,476	-1,508
SCO0447	-0,8	-1,46	-1,509
SCO2353	-2,766	-1,947	-1,514
SCO2859	0,261	-1,407	-1,524
SCO4609	-1,699	-2,096	-1,528
SCO2105	-1,767	-1,854	-1,537
SCO4913	-0,851	-1,544	-1,539
SCO4611	-2,469	-1,801	-1,539
SCO3151	1,25	-1,351	-1,54
SCO7090	-1,509	-1,787	-1,54
SCO7426	-1,44	-1,621	-1,542
SCO3513	-0,996	-1,023	-1,543
SCO4375	-1,617	-1,61	-1,561
SCO6262	-2,226	-2,02	-1,561
SCO7693	-2,1	-1,499	-1,562
SCO5919	-0,601	-1,942	-1,567
SCO0031	-1,031	-1,55	-1,57
SCO3351	-2,419	-1,906	-1,571
SCO1292	-2,037	-1,802	-1,574
SCO6329	-0,836	-1,876	-1,577
SCO2847	-1,585	-1,709	-1,582
SCO3399	-0,802	-1,418	-1,597
SCO0186	-1,159	-1,569	-1,597
SCO5616	-0,894	-1,74	-1,598
SCO1576	-1,136	-1,614	-1,6
SCO6342	-2,213	-1,837	-1,608
SCO3802	-1,105	-1,652	-1,618
SCO5227	-1,161	-1,141	-1,625
SCO0499	1,416	-1,029	-1,637
SCO1234	1,393	-0,765	-1,644
SCO2470	-1,045	-1,596	-1,651
SCO3390	-1,749	-1,718	-1,658
SCO1766	-1,754	-1,612	-1,66
SCO3105	-2,885	-1,336	-1,661
SCO7205	-1,792	-1,712	-1,662
SCO5264	-1,629	-1,731	-1,69
SCO3632	-1,144	-1,717	-1,692
SCO1182	-1,694	-1,87	-1,693
SCO2844	-0,861	-1,452	-1,696
SCO1086	-1,188	-1,681	-1,709
SCO1335	-0,998	-1,889	-1,714
SCO3050	-4,173	-2,396	-1,719
SCO3091	0,777	-2,08	-1,724
SCO1405	-1,058	-1,581	-1,733
SCO2910	-1,479	-1,969	-1,734
SCO4030	-1,695	-1,87	-1,735
SCO5333	-1,242	-1,932	-1,735
SCO3701	-1,852	-2,176	-1,736
SCO5920	-1,491	-1,62	-1,746
SCO4371	-2,049	-1,802	-1,756
SCO1568	-3,461	-3,072	-1,756
SCO3366	-1,761	-1,434	-1,762
SCO1291	-2,483	-1,992	-1,763
SCO1559	-1,685	-1,828	-1,769
SCO6735	-2,316	-2,53	-1,777
SCO3007	-1,995	-1,836	-1,78
SCO0218	3,021	-1,506	-1,789
SCO1522	-0,954	-1,353	-1,795
SCO1812	-1,526	-1,687	-1,795
SCO3710	-1,923	-1,648	-1,802
SCO6478	-1,287	-2,186	-1,804
SCO4761	-0,996	-1,2	-1,807
SCO2199	-0,939	-1,891	-1,81
SCO2907	-1,77	-1,905	-1,821
SCO2490	-0,491	-1,818	-1,829
SCO2003	-2,047	-1,913	-1,839
SCO4610	-1,533	-2,397	-1,846
SCO4289	-1,472	-1,737	-1,851
SCO7528	-1,175	-1,955	-1,851
SCO0497	0,857	-1,576	-1,859
SCO3712	-1,321	-1,848	-1,86
SCO6272	-1,162	-1,74	-1,867
SCO1966	-2,777	-2,385	-1,869
SCO2730	-3,049	-2,42	-1,874
SCO1144	-1,827	-1,995	-1,88
SCO7464	0,794	-1,387	-1,883
SCO6274	-1,752	-2,099	-1,883
SCO6220	-0,994	-1,4	-1,887
SCO4286	-1,557	-1,854	-1,889
SCO4471	-0,806	-2,826	-1,895
SCO3401	-1,426	-1,847	-1,901
SCO6086	-2,412	-1,61	-1,902
SCO2780	0,785	-1,376	-1,903
SCO1183	-1,318	-1,94	-1,903
SCO1969	-1,134	-2,425	-1,903
SCO3400	-1,448	-1,951	-1,913
SCO6341	-2,039	-2,08	-1,917
SCO1570	-0,909	-2,125	-1,92
SCO3341	-1,55	-1,853	-1,922
SCO2205	-3,472	-3,566	-1,928
SCO6279	-0,922	-2,537	-1,931
SCO3792	-0,744	-1,499	-1,937
SCO4165	-1,895	-2,074	-1,937
SCO6275	-1,936	-2,092	-1,946
SCO4498	-2,042	-2,147	-1,946
SCO7442	-1,455	-1,521	-1,952
SCO3282	-1,573	-1,638	-1,966
SCO1971	-0,874	-1,817	-1,974
SCO6278	-1,069	-2,341	-1,974
SCO1947	0,579	-1,9	-2,012
SCO6101	-1,465	-1,85	-2,014
SCO1044	-2,968	-2,11	-2,019
SCO7507	-2,151	-2,513	-2,029
SCO1169	-1,805	-1,771	-2,03
SCO5059	-1,497	-2,063	-2,034
SCO1577	-1,489	-2,111	-2,035
SCO2848	-1,929	-2,293	-2,036
SCO3106	-2,278	-1,492	-2,037
SCO2950	-1,201	-1,655	-2,049
SCO4852	-1,949	-2,248	-2,058
SCO0155	-1,367	-2,104	-2,059
SCO1236	1,981	-1,06	-2,077
SCO4164	-2,115	-1,483	-2,079
SCO2489	0,948	-1,848	-2,083
SCO3793	-1,077	-2,264	-2,087
SCO0191	-1,215	-1,927	-2,096
SCO0192	-1,229	-1,783	-2,098
SCO1713	-1,295	-2,06	-2,105
SCO2911	-2,052	-2,587	-2,134
SCO3661	-2,515	-2,024	-2,135
SCO7016	-0,986	-1,723	-2,142
SCO4005	-2,702	-2,484	-2,142
SCO5494	-3,36	-2,551	-2,159
SCO4303	-1,58	-2,316	-2,179
SCO6219	-0,912	-1,309	-2,189
SCO1181	-3,013	-2,694	-2,192
SCO7809	-1,78	-1,898	-2,2
SCO4945	-1,273	-2,244	-2,243
SCO4851	-1,541	-2,113	-2,275
SCO6277	-1,126	-2,709	-2,282
SCO0498	1,963	-1,445	-2,306
SCO1557	-1,459	-2,261	-2,307
SCO3166	-2,722	-2,431	-2,307
SCO0922	1,598	-2,364	-2,316
SCO5957	-2,863	-2,591	-2,328
SCO6276	-0,995	-2,785	-2,337
SCO6445	-2,535	-2,865	-2,347
SCO7364	-2,148	-2,269	-2,35
SCO6268	-1,941	-2,236	-2,371
SCO7363	-2,215	-2,431	-2,402
SCO7607	-2,092	-2,34	-2,408
SCO7427	-1,871	-2,493	-2,408
SCO0190	-1,372	-2,291	-2,412
SCO4054	-2,645	-2,282	-2,469
SCO5265	-2,357	-2,49	-2,471
SCO6120	-2,134	-2,503	-2,474
SCO6102	-2,441	-2,432	-2,48
SCO4641	-2,271	-2,271	-2,483
SCO4020	-1,47	-2,432	-2,486
SCO4248	0,783	-2,491	-2,51
SCO0193	-1,374	-1,242	-2,542
SCO7756	-3,471	-3,017	-2,553
SCO7468	-0,892	-2,405	-2,555
SCO0563	-2,977	-2,896	-2,558
SCO1579	-1,164	-2,792	-2,573
SCO1580	-1,687	-2,825	-2,576
SCO4336	-2,125	-3,294	-2,61
SCO4246	0,904	-2,647	-2,62
SCO6084	-3,486	-2,954	-2,629
SCO1235	1,369	-1,397	-2,646
SCO4157	-2,406	-3,018	-2,649
SCO3711	-2,749	-2,825	-2,681
SCO6661	-1,25	-3,045	-2,701
SCO7511	-0,868	-2,715	-2,739
SCO4247	1,484	-2,743	-2,749
SCO3156	-0,75	-2,511	-2,752
SCO1679	-2,108	-3,264	-2,78
SCO1406	-2,16	-2,781	-2,842
SCO7428	-1,752	-3,136	-2,843
SCO0774	0,874	-2,46	-2,898
SCO3152	1,25	-2,734	-2,921
SCO4031	-2,473	-2,977	-2,928
SCO3608	-3,217	-2,922	-2,954
SCO1558	-2,275	-2,844	-2,962
SCO4955	-1,402	-2,833	-2,994
SCO4631	-1,685	-2,905	-2,994
SCO4256	0,591	-3,128	-3,037
SCO4642	-2,52	-2,767	-3,044
SCO3286	-3,975	-2,952	-3,112
SCO3167	-4,333	-3,418	-3,121
SCO2782	1,11	-3,705	-3,223
SCO3311	-0,933	-3,335	-3,294
SCO0924	0,612	-3,531	-3,327
SCO3946	-0,981	-3,675	-3,351
SCO6663	-2,41	-3,717	-3,627
SCO4261	1,067	-3,679	-3,643
SCO5656	-4,142	-4,338	-3,806
SCO6662	-1,809	-4,089	-3,833
SCO1267	-3,626	-3,412	-3,874
SCO0923	0,864	-4,05	-3,958
SCO5485	-4,066	-3,711	-4,018
SCO3607	-4,374	-3,96	-4,132
SCO4640	-4,519	-4,525	-4,257
SCO3945	-1,856	-4,622	-4,257
SCO5655	-3,986	-4,396	-4,266
SCO7014	-2,554	-2,968	-4,49
SCO3280	-5,866	-5,632	-5,248
SCO4032	-4,336	-5,078	-5,436
SCO5484	-4,661	-5,234	-5,586
