Gene	Average log2 MII24h/MI12h	Average log2 MII48h/MI12h	Average log2 MII72h/MI12h
SCO0387	2,048	3,08	2,934
SCO5466	1,231	2,699	2,917
SCO1427	1,4	2,951	2,915
SCO1563	1,62	2,876	2,909
SCO4080	1,936	3,024	2,895
SCO4979	1,357	3,666	2,878
SCO1375	1,909	2,416	2,873
SCO0392	2,007	2,881	2,871
SCO1432	1,145	2,362	2,866
SCO2953	0,504	2,826	2,865
SCO7342	2,006	3,419	2,856
SCO4772	1,746	2,815	2,851
SCO1629	3,453	3,105	2,84
SCO5415	1,833	3,323	2,82
SCO2529	0,963	2,986	2,815
SCO4920	1,819	2,694	2,812
SCO0932	1,828	3,528	2,784
SCO2250	1,855	2,459	2,77
SCO2572	1,765	2,773	2,769
SCO2560	0,853	2,506	2,763
SCO1628	3,332	2,989	2,747
SCO1189	1,9	2,477	2,716
SCO5218	1,726	2,773	2,694
SCO0591	0,717	1,244	2,689
SCO0389	1,448	2,838	2,688
SCO0409	0,971	1,515	2,676
SCO0385	1,813	2,859	2,674
SCO5319	1,747	0,938	2,667
SCO5085	1,371	2,049	2,644
SCO0384	1,858	2,834	2,616
SCO2573	1,329	2,653	2,586
SCO1172	1,206	2,865	2,576
SCO7452	0,884	1,278	2,575
SCO0038	1,055	2,008	2,549
SCO4675	2,978	2,897	2,542
SCO0685	1,763	2,402	2,539
SCO5125	1,605	2,123	2,528
SCO2251	1,613	2,361	2,526
SCO1673	0,847	1,419	2,511
SCO5276	1,265	2,501	2,503
SCO2311	1,325	1,348	2,503
SCO5864	1,732	1,512	2,497
SCO5827	1,908	2,717	2,489
SCO0390	1,4	2,77	2,488
SCO4411	1,117	2,659	2,483
SCO3195	1,593	2,301	2,475
SCO6795	2,449	3,433	2,469
SCO4187	-0,869	1,482	2,465
SCO5176	2,167	2,869	2,458
SCO5249	2,925	3,171	2,443
SCO1174	2,382	2,54	2,398
SCO5219	1,352	2,528	2,387
SCO1626	3,092	2,72	2,386
SCO0391	1,234	2,606	2,357
SCO6424	-0,417	0,685	2,345
SCO2823	3,141	2,471	2,343
SCO2404	0,855	2,426	2,339
SCO2703	0,921	2,387	2,338
SCO5605	2,966	2,324	2,321
SCO4883	2,038	2,234	2,303
SCO2236	1,225	1,455	2,299
SCO5511	1,073	2,317	2,298
SCO4348	2,927	3,269	2,291
SCO5803	2,134	2,052	2,278
SCO5390	1,508	1,922	2,277
SCO1451	0,588	1,969	2,276
SCO0931	1,622	2,932	2,274
SCO6932	2,359	2,013	2,235
SCO0401	1,526	2,389	2,215
SCO7771	1,406	1,884	2,211
SCO1030	1,146	1,978	2,206
SCO0398	1,824	2,655	2,194
SCO6324	1,481	1,655	2,193
SCO0386	1,234	2,335	2,184
SCO4545	0,911	2,176	2,174
SCO6797	2,213	3,039	2,172
SCO4301	0,999	1,69	2,169
SCO0974	1,542	2,908	2,148
SCO6079	1,083	1,901	2,131
SCO0588	1,572	2,279	2,126
SCO2035	2,161	2,392	2,119
SCO5444	1,875	1,864	2,116
SCO4800	1,057	2,159	2,113
SCO5391	1,164	1,839	2,113
SCO5460	0,872	2,014	2,106
SCO5012	1,361	2,933	2,097
SCO5581	1,434	1,813	2,097
SCO5420	0,572	2,286	2,094
SCO1838	0,962	2,075	2,079
SCO6211	0,927	2,267	2,078
SCO1823	1,162	3,924	2,075
SCO7700	0,477	2,226	2,072
SCO1173	0,387	1,828	2,049
SCO5013	1,585	2,858	2,03
SCO2246	0,843	2,447	2,03
SCO5029	2,377	2,445	2,027
SCO2237	1,135	1,405	2,027
SCO3365	0,626	1,541	2,025
SCO5100	1,192	2,421	2,018
SCO5442	1,925	2,342	2,014
SCO4574	-0,843	1,868	2,011
SCO4349	2,171	2,848	2,008
SCO4239	2,03	2,301	2,007
SCO5785	-0,414	0,709	2,001
SCO7334	0,936	1,416	1,989
SCO1943	1,14	1,415	1,989
SCO5240	2,229	1,434	1,982
SCO4575	-0,364	1,765	1,979
SCO2407	0,739	2,021	1,971
SCO6979	0,725	1,498	1,97
SCO0243	1,27	1,579	1,969
SCO2520	1,723	2,499	1,967
SCO6323	2,074	2,754	1,961
SCO2908	1,21	2,114	1,955
SCO5244	1,014	1,618	1,951
SCO6209	0,916	2,186	1,946
SCO5561	1,101	1,998	1,946
SCO4565	-0,511	1,666	1,922
SCO5790	0,722	0,976	1,922
SCO6708	1,424	2,292	1,92
SCO4562	-1,149	1,352	1,918
SCO3350	1,678	2,231	1,913
SCO7551	1,201	1,935	1,907
SCO4039	0,855	1,342	1,895
SCO2079	1,367	1,494	1,89
SCO0943	1,482	1,904	1,885
SCO5758	0,485	1,232	1,877
SCO2008	2,764	2,646	1,874
SCO7335	0,57	1,014	1,868
SCO4769	0,975	1,543	1,866
SCO2522	1,007	2,369	1,861
SCO4581	0,637	2,141	1,858
SCO4108	0,949	2,234	1,855
SCO6931	1,93	1,675	1,855
SCO4564	-0,687	1,534	1,854
SCO0584	1,567	2,238	1,844
SCO1241	1,138	1,449	1,843
SCO6794	1,507	2,573	1,838
SCO1470	1,884	1,89	1,832
SCO0586	1,477	2,127	1,83
SCO4237	1,155	1,933	1,818
SCO5819	1,265	1,962	1,815
SCO1195	0,53	1,918	1,807
SCO6206	1,53	1,763	1,805
SCO0736	1,811	1,259	1,8
SCO0242	1,183	1,436	1,798
SCO4748	1,21	1,413	1,798
SCO0411	1,229	1,325	1,796
SCO5799	0,443	1,293	1,793
SCO6286	1,569	1,033	1,786
SCO2391	1,133	1,457	1,781
SCO6566	0,547	0,852	1,78
SCO6906	1,393	1,379	1,778
SCO5250	1,358	2,009	1,773
SCO1757	0,664	1,581	1,771
SCO4861	0,917	1,392	1,77
SCO5575	1,24	1,718	1,769
SCO6384	0,723	1,188	1,768
SCO1480	2,027	1,792	1,763
SCO3291	0,859	1,75	1,758
SCO4184	1,115	1,336	1,748
SCO6394	0,891	1,894	1,747
SCO0988	1,423	2,112	1,741
SCO4350	1,789	2,252	1,739
SCO1048	1,044	2,068	1,738
SCO5398	1,778	2,138	1,722
SCO0397	1,25	2,071	1,716
SCO2822	2,194	1,73	1,713
SCO5396	1,617	1,743	1,702
SCO5898	1,586	2,108	1,7
SCO5784	-0,811	0,824	1,696
SCO6951	1,393	1,625	1,692
SCO7665	1,306	0,922	1,692
SCO0704	1,093	1,557	1,689
SCO3023	1,304	1,951	1,671
