"gene","logFC","FDR","add_variable","time","data_name"
"SCO6797",0.14,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO6797",0.24,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO6797",0.25,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3579",0.05,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3579",0.05,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3579",0.06,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO4035",0.48,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO4035",0.27,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO4035",0.43,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO5582",0.42,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO5582",0.34,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO5582",0.36,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3210",3.24,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3210",1.35,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3210",1.8,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3211",2.05,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3211",1.95,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3211",2.16,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3212",2.04,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3212",1.43,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3212",2.28,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3213",3.96,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3213",2.44,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3213",2.13,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3215",3.8,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3215",2.51,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3215",2.4,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3217",2.31,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3217",2.22,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3217",1.54,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3218",6.24,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3218",4.18,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3218",3.63,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3220",4.55,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3220",2.16,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3220",2.63,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3221",5.59,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3221",1.33,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3221",1.74,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3222",5.65,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3222",2.69,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3222",2.24,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3228",2.59,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3228",1.58,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3228",2.25,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3229",5.46,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3229",2.58,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3229",3.01,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3230",4.26,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3230",2.61,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3230",2.71,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3231",2.47,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3231",1.6,0,"DohkAvsM145",64,"ohkA_scoe"
"SCO3231",2.36,0,"DohkAvsM145",88,"ohkA_scoe"
"SCO3232",2.37,0,"DohkAvsM145",48,"ohkA_scoe"
"SCO3232",1.75,0,"DohkAvsM145",64,"ohkA_scoe"
