"gene","logFC","FDR","add_variable","time","data_name"
"SCO2729",0.9,0.1468,"DosdRvsM512",42,"osdr_2016"
"SCO2729",1.31,0.1468,"DosdRvsM512",36,"osdr_2016"
"SCO2729",2.03,0.1468,"DosdRvsM512",54,"osdr_2016"
"SCO2730",0.48,1.0258,"DosdRvsM512",24,"osdr_2016"
"SCO2730",1.47,1.0258,"DosdRvsM512",30,"osdr_2016"
"SCO2730",1.23,1.0258,"DosdRvsM512",42,"osdr_2016"
"SCO2730",0.97,1.0258,"DosdRvsM512",36,"osdr_2016"
"SCO2730",1.27,1.0258,"DosdRvsM512",54,"osdr_2016"
"SCO2768",0.46,0.2787,"DosdRvsM512",24,"osdr_2016"
"SCO2768",0.75,0.2787,"DosdRvsM512",30,"osdr_2016"
"SCO2768",0.88,0.2787,"DosdRvsM512",42,"osdr_2016"
"SCO2768",0.75,0.2787,"DosdRvsM512",36,"osdr_2016"
"SCO2768",0.69,0.2787,"DosdRvsM512",54,"osdr_2016"
"SCO2774",1.59,0.0018,"DosdRvsM512",24,"osdr_2016"
"SCO2774",1.56,0.0018,"DosdRvsM512",30,"osdr_2016"
"SCO2774",0.89,0.0018,"DosdRvsM512",42,"osdr_2016"
"SCO2774",2.57,0.0018,"DosdRvsM512",36,"osdr_2016"
"SCO2774",1.71,0.0018,"DosdRvsM512",54,"osdr_2016"
"SCO2779",1.34,0.0379,"DosdRvsM512",24,"osdr_2016"
"SCO2779",1.76,0.0379,"DosdRvsM512",30,"osdr_2016"
"SCO2779",1.24,0.0379,"DosdRvsM512",42,"osdr_2016"
"SCO2779",0.93,0.0379,"DosdRvsM512",36,"osdr_2016"
"SCO2779",2.07,0.0379,"DosdRvsM512",54,"osdr_2016"
"SCO2795",1.79,0.0073,"DosdRvsM512",24,"osdr_2016"
"SCO2795",2.27,0.0073,"DosdRvsM512",30,"osdr_2016"
"SCO2795",0.89,0.0073,"DosdRvsM512",42,"osdr_2016"
"SCO2795",2.4,0.0073,"DosdRvsM512",36,"osdr_2016"
"SCO2795",1.75,0.0073,"DosdRvsM512",54,"osdr_2016"
"SCO2797",1.3,0.0641,"DosdRvsM512",24,"osdr_2016"
"SCO2797",2.06,0.0641,"DosdRvsM512",30,"osdr_2016"
"SCO2797",1.13,0.0641,"DosdRvsM512",42,"osdr_2016"
"SCO2797",1.61,0.0641,"DosdRvsM512",36,"osdr_2016"
"SCO2797",1.56,0.0641,"DosdRvsM512",54,"osdr_2016"
"SCO2819",0.38,0.0054,"DosdRvsM512",24,"osdr_2016"
"SCO2819",0.35,0.0054,"DosdRvsM512",30,"osdr_2016"
"SCO2819",0.87,0.0054,"DosdRvsM512",42,"osdr_2016"
"SCO2819",0.42,0.0054,"DosdRvsM512",36,"osdr_2016"
"SCO2819",0.29,0.0054,"DosdRvsM512",54,"osdr_2016"
"SCO2830",0.57,0.4533,"DosdRvsM512",24,"osdr_2016"
"SCO2830",1.52,0.4533,"DosdRvsM512",30,"osdr_2016"
"SCO2830",1.04,0.4533,"DosdRvsM512",42,"osdr_2016"
"SCO2830",0.91,0.4533,"DosdRvsM512",36,"osdr_2016"
"SCO2830",2.37,0.4533,"DosdRvsM512",54,"osdr_2016"
"SCO2838",0.45,0.2338,"DosdRvsM512",24,"osdr_2016"
"SCO2838",0.69,0.2338,"DosdRvsM512",30,"osdr_2016"
"SCO2838",0.9,0.2338,"DosdRvsM512",42,"osdr_2016"
"SCO2838",0.75,0.2338,"DosdRvsM512",36,"osdr_2016"
"SCO2838",0.71,0.2338,"DosdRvsM512",54,"osdr_2016"
"SCO2845",2.41,0.4459,"DosdRvsM512",24,"osdr_2016"
"SCO2845",1.15,0.4459,"DosdRvsM512",30,"osdr_2016"
"SCO2845",0.82,0.4459,"DosdRvsM512",42,"osdr_2016"
"SCO2845",1.18,0.4459,"DosdRvsM512",36,"osdr_2016"
"SCO2845",0.98,0.4459,"DosdRvsM512",54,"osdr_2016"
"SCO2858",0.5,1.1319,"DosdRvsM512",24,"osdr_2016"
"SCO2858",0.94,1.1319,"DosdRvsM512",30,"osdr_2016"
"SCO2858",1.11,1.1319,"DosdRvsM512",42,"osdr_2016"
"SCO2858",0.78,1.1319,"DosdRvsM512",36,"osdr_2016"
"SCO2858",1.15,1.1319,"DosdRvsM512",54,"osdr_2016"
"SCO2882",0.77,0.0721,"DosdRvsM512",24,"osdr_2016"
"SCO2882",0.53,0.0721,"DosdRvsM512",30,"osdr_2016"
"SCO2882",0.68,0.0721,"DosdRvsM512",42,"osdr_2016"
"SCO2882",0.81,0.0721,"DosdRvsM512",36,"osdr_2016"
"SCO2882",0.49,0.0721,"DosdRvsM512",54,"osdr_2016"
"SCO2887",0.43,1.1095,"DosdRvsM512",24,"osdr_2016"
"SCO2887",0.96,1.1095,"DosdRvsM512",30,"osdr_2016"
"SCO2887",1.2,1.1095,"DosdRvsM512",42,"osdr_2016"
"SCO2887",0.96,1.1095,"DosdRvsM512",36,"osdr_2016"
"SCO2887",0.96,1.1095,"DosdRvsM512",54,"osdr_2016"
"SCO2905",0.26,0.0086,"DosdRvsM512",24,"osdr_2016"
"SCO2905",0.54,0.0086,"DosdRvsM512",30,"osdr_2016"
"SCO2905",0.89,0.0086,"DosdRvsM512",42,"osdr_2016"
"SCO2905",0.46,0.0086,"DosdRvsM512",36,"osdr_2016"
"SCO2905",0.71,0.0086,"DosdRvsM512",54,"osdr_2016"
"SCO2910",0.35,0.0066,"DosdRvsM512",24,"osdr_2016"
"SCO2910",0.42,0.0066,"DosdRvsM512",30,"osdr_2016"
"SCO2910",0.8,0.0066,"DosdRvsM512",42,"osdr_2016"
"SCO2910",0.5,0.0066,"DosdRvsM512",36,"osdr_2016"
"SCO2910",0.41,0.0066,"DosdRvsM512",54,"osdr_2016"
"SCO2911",0.43,0.0044,"DosdRvsM512",24,"osdr_2016"
"SCO2911",0.31,0.0044,"DosdRvsM512",30,"osdr_2016"
"SCO2911",0.82,0.0044,"DosdRvsM512",42,"osdr_2016"
"SCO2911",0.35,0.0044,"DosdRvsM512",36,"osdr_2016"
"SCO2911",0.29,0.0044,"DosdRvsM512",54,"osdr_2016"
"SCO2912",0.42,0.0014,"DosdRvsM512",24,"osdr_2016"
"SCO2912",0.32,0.0014,"DosdRvsM512",30,"osdr_2016"
"SCO2912",0.59,0.0014,"DosdRvsM512",42,"osdr_2016"
"SCO2912",0.44,0.0014,"DosdRvsM512",36,"osdr_2016"
"SCO2912",0.32,0.0014,"DosdRvsM512",54,"osdr_2016"
"SCO2924",1.86,0,"DosdRvsM512",24,"osdr_2016"
"SCO2924",4.85,0,"DosdRvsM512",30,"osdr_2016"
"SCO2924",1.11,0,"DosdRvsM512",42,"osdr_2016"
"SCO2924",3.66,0,"DosdRvsM512",36,"osdr_2016"
"SCO2924",3.92,0,"DosdRvsM512",54,"osdr_2016"
"SCO2928",2.05,0.0251,"DosdRvsM512",24,"osdr_2016"
"SCO2928",1.87,0.0251,"DosdRvsM512",30,"osdr_2016"
"SCO2928",1.13,0.0251,"DosdRvsM512",42,"osdr_2016"
"SCO2928",1.3,0.0251,"DosdRvsM512",36,"osdr_2016"
"SCO2928",1.8,0.0251,"DosdRvsM512",54,"osdr_2016"
"SCO2950",1.07,0.1829,"DosdRvsM512",24,"osdr_2016"
"SCO2950",0.99,0.1829,"DosdRvsM512",30,"osdr_2016"
"SCO2950",0.67,0.1829,"DosdRvsM512",42,"osdr_2016"
"SCO2950",2.13,0.1829,"DosdRvsM512",36,"osdr_2016"
"SCO2950",0.81,0.1829,"DosdRvsM512",54,"osdr_2016"
"SCO2953",0.51,0.0182,"DosdRvsM512",24,"osdr_2016"
"SCO2953",0.64,0.0182,"DosdRvsM512",30,"osdr_2016"
"SCO2953",0.59,0.0182,"DosdRvsM512",42,"osdr_2016"
"SCO2953",0.73,0.0182,"DosdRvsM512",36,"osdr_2016"
"SCO2953",0.48,0.0182,"DosdRvsM512",54,"osdr_2016"
"SCO2954",0.59,0.0109,"DosdRvsM512",24,"osdr_2016"
"SCO2954",0.52,0.0109,"DosdRvsM512",30,"osdr_2016"
"SCO2954",0.57,0.0109,"DosdRvsM512",42,"osdr_2016"
"SCO2954",0.84,0.0109,"DosdRvsM512",36,"osdr_2016"
"SCO2954",0.47,0.0109,"DosdRvsM512",54,"osdr_2016"
"SCO2959",1.85,0.0073,"DosdRvsM512",24,"osdr_2016"
"SCO2959",1.09,0.0073,"DosdRvsM512",30,"osdr_2016"
"SCO2959",0.39,0.0073,"DosdRvsM512",42,"osdr_2016"
"SCO2959",2.91,0.0073,"DosdRvsM512",36,"osdr_2016"
"SCO2959",1.13,0.0073,"DosdRvsM512",54,"osdr_2016"
"SCO2970",0.33,0.1501,"DosdRvsM512",24,"osdr_2016"
"SCO2970",0.59,0.1501,"DosdRvsM512",30,"osdr_2016"
"SCO2970",0.97,0.1501,"DosdRvsM512",42,"osdr_2016"
"SCO2970",0.81,0.1501,"DosdRvsM512",36,"osdr_2016"
"SCO2970",0.74,0.1501,"DosdRvsM512",54,"osdr_2016"
"SCO2971",0.45,0.0109,"DosdRvsM512",24,"osdr_2016"
"SCO2971",0.45,0.0109,"DosdRvsM512",30,"osdr_2016"
"SCO2971",0.72,0.0109,"DosdRvsM512",42,"osdr_2016"
"SCO2971",0.77,0.0109,"DosdRvsM512",36,"osdr_2016"
"SCO2971",0.35,0.0109,"DosdRvsM512",54,"osdr_2016"
"SCO2976",0.38,0.0159,"DosdRvsM512",24,"osdr_2016"
"SCO2976",0.62,0.0159,"DosdRvsM512",30,"osdr_2016"
"SCO2976",0.58,0.0159,"DosdRvsM512",42,"osdr_2016"
"SCO2976",0.66,0.0159,"DosdRvsM512",36,"osdr_2016"
"SCO2976",0.58,0.0159,"DosdRvsM512",54,"osdr_2016"
"SCO3013",0.33,0.0503,"DosdRvsM512",24,"osdr_2016"
"SCO3013",0.64,0.0503,"DosdRvsM512",30,"osdr_2016"
"SCO3013",0.87,0.0503,"DosdRvsM512",42,"osdr_2016"
"SCO3013",0.68,0.0503,"DosdRvsM512",36,"osdr_2016"
"SCO3013",0.52,0.0503,"DosdRvsM512",54,"osdr_2016"
"SCO3023",0.51,0.018,"DosdRvsM512",24,"osdr_2016"
"SCO3023",0.4,0.018,"DosdRvsM512",30,"osdr_2016"
"SCO3023",0.76,0.018,"DosdRvsM512",42,"osdr_2016"
"SCO3023",0.76,0.018,"DosdRvsM512",36,"osdr_2016"
"SCO3023",0.32,0.018,"DosdRvsM512",54,"osdr_2016"
"SCO3035",0.69,0.1226,"DosdRvsM512",24,"osdr_2016"
"SCO3035",0.46,0.1226,"DosdRvsM512",30,"osdr_2016"
"SCO3035",1.14,0.1226,"DosdRvsM512",42,"osdr_2016"
"SCO3035",0.6,0.1226,"DosdRvsM512",36,"osdr_2016"
"SCO3035",0.47,0.1226,"DosdRvsM512",54,"osdr_2016"
"SCO3047",1.21,0.0095,"DosdRvsM512",24,"osdr_2016"
"SCO3047",2.34,0.0095,"DosdRvsM512",30,"osdr_2016"
"SCO3047",1.07,0.0095,"DosdRvsM512",42,"osdr_2016"
"SCO3047",1.96,0.0095,"DosdRvsM512",36,"osdr_2016"
"SCO3047",1.98,0.0095,"DosdRvsM512",54,"osdr_2016"
"SCO3048",0.87,0.0383,"DosdRvsM512",24,"osdr_2016"
"SCO3048",1.72,0.0383,"DosdRvsM512",30,"osdr_2016"
"SCO3048",0.87,0.0383,"DosdRvsM512",42,"osdr_2016"
"SCO3048",2.06,0.0383,"DosdRvsM512",36,"osdr_2016"
"SCO3048",1.27,0.0383,"DosdRvsM512",54,"osdr_2016"
"SCO3051",1.44,0.011,"DosdRvsM512",24,"osdr_2016"
"SCO3051",1.51,0.011,"DosdRvsM512",30,"osdr_2016"
"SCO3051",0.86,0.011,"DosdRvsM512",42,"osdr_2016"
"SCO3051",2.29,0.011,"DosdRvsM512",36,"osdr_2016"
"SCO3051",1.36,0.011,"DosdRvsM512",54,"osdr_2016"
"SCO3063",0.4,0.322,"DosdRvsM512",24,"osdr_2016"
"SCO3063",0.79,0.322,"DosdRvsM512",30,"osdr_2016"
"SCO3063",0.83,0.322,"DosdRvsM512",42,"osdr_2016"
"SCO3063",0.81,0.322,"DosdRvsM512",36,"osdr_2016"
