"gene","logFC","FDR","time","add_variable","data_name"
"SCO0224",0.002864,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0224",0.06888,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0225",-0.297,0,32,"DargR.M145","argR_2018"
"SCO0225",-0.411,0,42,"DargR.M145","argR_2018"
"SCO0225",-1.456,0,49,"DargR.M145","argR_2018"
"SCO0225",-0.372,0,56,"DargR.M145","argR_2018"
"SCO0225",0.134,0,66,"DargR.M145","argR_2018"
"SCO0225",0.900989,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0225",0.481506,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0225",0.006409,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0225",0.665215,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0225",0.915528,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0228",-0.207,0,32,"DargR.M145","argR_2018"
"SCO0228",-0.25,0,42,"DargR.M145","argR_2018"
"SCO0228",-1.209,0,49,"DargR.M145","argR_2018"
"SCO0228",-2.599,0,56,"DargR.M145","argR_2018"
"SCO0228",-2.352,0,66,"DargR.M145","argR_2018"
"SCO0228",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0228",0.824753,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0228",0.152053,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0228",0.0072,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0228",0.008023,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0247",-0.441,0,32,"DargR.M145","argR_2018"
"SCO0247",-0.797,0,42,"DargR.M145","argR_2018"
"SCO0247",-0.728,0,49,"DargR.M145","argR_2018"
"SCO0247",-0.543,0,56,"DargR.M145","argR_2018"
"SCO0247",0.456,0,66,"DargR.M145","argR_2018"
"SCO0247",0.160124,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0247",0.001455,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0247",0.004581,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0247",0.056467,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0247",0.080578,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0254",-0.033,0,32,"DargR.M145","argR_2018"
"SCO0254",-0.427,0,42,"DargR.M145","argR_2018"
"SCO0254",-0.007,0,49,"DargR.M145","argR_2018"
"SCO0254",-0.02,0,56,"DargR.M145","argR_2018"
"SCO0254",-0.136,0,66,"DargR.M145","argR_2018"
"SCO0254",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0254",0.007282,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0254",0.97373,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0254",0.961817,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0254",0.552324,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0269",0.134,0,32,"DargR.M145","argR_2018"
"SCO0269",-0.102,0,42,"DargR.M145","argR_2018"
"SCO0269",-0.454,0,49,"DargR.M145","argR_2018"
"SCO0269",-0.482,0,56,"DargR.M145","argR_2018"
"SCO0269",-0.215,0,66,"DargR.M145","argR_2018"
"SCO0269",0.746242,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0269",0.594595,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0269",0.007143,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0269",0.008484,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0269",0.263407,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0277",-0.111,0,32,"DargR.M145","argR_2018"
"SCO0277",-0.047,0,42,"DargR.M145","argR_2018"
"SCO0277",-0.655,0,49,"DargR.M145","argR_2018"
"SCO0277",-0.476,0,56,"DargR.M145","argR_2018"
"SCO0277",-0.424,0,66,"DargR.M145","argR_2018"
"SCO0277",0.946839,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0277",0.884988,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0277",0.007429,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0277",0.08905,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0277",0.093896,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0278",-0.106,0,32,"DargR.M145","argR_2018"
"SCO0278",-0.239,0,42,"DargR.M145","argR_2018"
"SCO0278",-0.867,0,49,"DargR.M145","argR_2018"
"SCO0278",-0.077,0,56,"DargR.M145","argR_2018"
"SCO0278",-0.139,0,66,"DargR.M145","argR_2018"
"SCO0278",0.975951,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0278",0.435405,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0278",0.002601,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0278",0.899566,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0278",0.788734,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0281",1.055,0,32,"DargR.M145","argR_2018"
"SCO0281",0.287,0,42,"DargR.M145","argR_2018"
"SCO0281",1.109,0,49,"DargR.M145","argR_2018"
"SCO0281",0.79,0,56,"DargR.M145","argR_2018"
"SCO0281",0.689,0,66,"DargR.M145","argR_2018"
"SCO0281",0.002503,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0281",0.405643,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0281",0.00093,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0281",0.024478,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0281",0.031838,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0287",-0.108,0,32,"DargR.M145","argR_2018"
"SCO0287",-0.359,0,42,"DargR.M145","argR_2018"
"SCO0287",-0.465,0,49,"DargR.M145","argR_2018"
"SCO0287",-0.284,0,56,"DargR.M145","argR_2018"
"SCO0287",-0.123,0,66,"DargR.M145","argR_2018"
"SCO0287",0.869187,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0287",0.036281,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0287",0.008335,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0287",0.199633,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0287",0.654238,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0290",-0.265,0,32,"DargR.M145","argR_2018"
"SCO0290",-0.258,0,42,"DargR.M145","argR_2018"
"SCO0290",-0.946,0,49,"DargR.M145","argR_2018"
"SCO0290",-0.359,0,56,"DargR.M145","argR_2018"
"SCO0290",-0.697,0,66,"DargR.M145","argR_2018"
"SCO0290",0.672823,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0290",0.426048,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0290",0.001997,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0290",0.396127,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0290",0.018694,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0291",-0.376,0,32,"DargR.M145","argR_2018"
"SCO0291",-0.173,0,42,"DargR.M145","argR_2018"
"SCO0291",-0.44,0,49,"DargR.M145","argR_2018"
"SCO0291",-0.324,0,56,"DargR.M145","argR_2018"
"SCO0291",-0.648,0,66,"DargR.M145","argR_2018"
"SCO0291",0.138714,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0291",0.446433,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0291",0.026349,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0291",0.223258,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0291",0.002114,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0292",-0.493,0,32,"DargR.M145","argR_2018"
"SCO0292",0.012,0,42,"DargR.M145","argR_2018"
"SCO0292",-0.534,0,49,"DargR.M145","argR_2018"
"SCO0292",-0.071,0,56,"DargR.M145","argR_2018"
"SCO0292",-0.792,0,66,"DargR.M145","argR_2018"
"SCO0292",0.03323,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0292",0.967259,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0292",0.010089,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0292",0.871004,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0292",0.000295,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0293",0.375,0,32,"DargR.M145","argR_2018"
"SCO0293",0.129,0,42,"DargR.M145","argR_2018"
"SCO0293",0.341,0,49,"DargR.M145","argR_2018"
"SCO0293",0.472,0,56,"DargR.M145","argR_2018"
"SCO0293",0.217,0,66,"DargR.M145","argR_2018"
"SCO0293",0.031579,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0293",0.455002,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0293",0.023483,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0293",0.005957,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0293",0.213235,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0297",-0.687,0,32,"DargR.M145","argR_2018"
"SCO0297",-1.014,0,42,"DargR.M145","argR_2018"
"SCO0297",-1.246,0,49,"DargR.M145","argR_2018"
"SCO0297",-1.225,0,56,"DargR.M145","argR_2018"
"SCO0297",0.27,0,66,"DargR.M145","argR_2018"
"SCO0297",0.161455,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0297",0.008025,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0297",0.002151,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0297",0.004353,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0297",0.663409,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0305",-0.436,0,32,"DargR.M145","argR_2018"
"SCO0305",-0.502,0,42,"DargR.M145","argR_2018"
"SCO0305",-0.695,0,49,"DargR.M145","argR_2018"
"SCO0305",-0.522,0,56,"DargR.M145","argR_2018"
"SCO0305",-0.382,0,66,"DargR.M145","argR_2018"
"SCO0305",0.163629,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0305",0.038946,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0305",0.006001,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0305",0.066775,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0305",0.157825,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0308",0.053,0,32,"DargR.M145","argR_2018"
"SCO0308",-0.136,0,42,"DargR.M145","argR_2018"
"SCO0308",-0.01,0,49,"DargR.M145","argR_2018"
"SCO0308",-0.065,0,56,"DargR.M145","argR_2018"
"SCO0308",-0.593,0,66,"DargR.M145","argR_2018"
"SCO0308",0.986839,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0308",0.435249,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0308",0.961486,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0308",0.832083,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0308",0.000351,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0310",-0.268,0,32,"DargR.M145","argR_2018"
"SCO0310",-0.597,0,42,"DargR.M145","argR_2018"
"SCO0310",-0.225,0,49,"DargR.M145","argR_2018"
"SCO0310",-0.242,0,56,"DargR.M145","argR_2018"
"SCO0310",0.181,0,66,"DargR.M145","argR_2018"
"SCO0310",0.217919,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0310",0.000413,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0310",0.158664,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0310",0.277336,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0310",0.378806,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0314",0.028,0,32,"DargR.M145","argR_2018"
"SCO0314",0.042,0,42,"DargR.M145","argR_2018"
"SCO0314",-0.564,0,49,"DargR.M145","argR_2018"
"SCO0314",0.12,0,56,"DargR.M145","argR_2018"
"SCO0314",-0.121,0,66,"DargR.M145","argR_2018"
"SCO0314",0.999071,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0314",0.8807,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0314",0.008268,0,49,"p.BH.DargR.M145","argR_2018"
"SCO0314",0.752733,0,56,"p.BH.DargR.M145","argR_2018"
"SCO0314",0.739158,0,66,"p.BH.DargR.M145","argR_2018"
"SCO0315",0.3,0,32,"DargR.M145","argR_2018"
"SCO0315",2.353,0,42,"DargR.M145","argR_2018"
"SCO0315",-0.35,0,49,"DargR.M145","argR_2018"
"SCO0315",0.68,0,56,"DargR.M145","argR_2018"
"SCO0315",-0.452,0,66,"DargR.M145","argR_2018"
"SCO0315",0.929576,0,32,"p.BH.DargR.M145","argR_2018"
"SCO0315",0.000139,0,42,"p.BH.DargR.M145","argR_2018"
"SCO0315",0.569564,0,49,"p.BH.DargR.M145","argR_2018"
