"gene","logFC","FDR","add_variable","data_name","time"
"SCO1432",1.145,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1432",2.362,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1432",2.866,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1629",3.453,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1629",3.105,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1629",2.84,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4920",1.819,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4920",2.694,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4920",2.812,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO0932",1.828,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO0932",3.528,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO0932",2.784,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1673",0.847,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1673",1.419,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1673",2.511,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5864",1.732,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5864",1.512,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5864",2.497,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5827",1.908,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5827",2.717,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5827",2.489,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4411",1.117,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4411",2.659,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4411",2.483,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO3195",1.593,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO3195",2.301,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO3195",2.475,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6795",2.449,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6795",3.433,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6795",2.469,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5176",2.167,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5176",2.869,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5176",2.458,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5249",2.925,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5249",3.171,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5249",2.443,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1174",2.382,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1174",2.54,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1174",2.398,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2404",0.855,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2404",2.426,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2404",2.339,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4883",2.038,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4883",2.234,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4883",2.303,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5511",1.073,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5511",2.317,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5511",2.298,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5390",1.508,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5390",1.922,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5390",2.277,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6797",2.213,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6797",3.039,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6797",2.172,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6079",1.083,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6079",1.901,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6079",2.131,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2035",2.161,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2035",2.392,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2035",2.119,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5444",1.875,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5444",1.864,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5444",2.116,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5391",1.164,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5391",1.839,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5391",2.113,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1838",0.962,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1838",2.075,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1838",2.079,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6211",0.927,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6211",2.267,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6211",2.078,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1823",1.162,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1823",3.924,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1823",2.075,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5029",2.377,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5029",2.445,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5029",2.027,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5100",1.192,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5100",2.421,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5100",2.018,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5442",1.925,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5442",2.342,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO5442",2.014,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4239",2.03,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4239",2.301,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4239",2.007,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2908",1.21,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2908",2.114,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2908",1.955,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO6209",0.916,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO6209",2.186,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO6209",1.946,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO2008",2.764,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO2008",2.646,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO2008",1.874,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO4581",0.637,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO4581",2.141,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO4581",1.858,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO1480",2.027,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO1480",1.792,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
"SCO1480",1.763,0,"MIIinTvsMI12h","yague_2013_scoe_diff",72
"SCO5398",1.778,0,"MIIinTvsMI12h","yague_2013_scoe_diff",24
"SCO5398",2.138,0,"MIIinTvsMI12h","yague_2013_scoe_diff",48
